,Class,NER
1021,EVENT,美濃福安菸葉輔導站整建工程
577,EVENT,普度法會
167,EVENT,二次大戰
675,EVENT,幸福家庭、兒童嘉年華會
455,EVENT,九州熊本強震
1193,EVENT,二零一六新加坡國際食 品展
414,EVENT,水門案
1039,GPE,前鎮
1050,GPE,大林浦
1053,GPE,林園
1064,GPE,楠梓區
1067,GPE,大林蒲遷村
1068,GPE,大林蒲
290,GPE,高雄市仁武區
1082,GPE,紅毛港遷村
228,GPE,德國
1109,GPE,紅毛港
1037,GPE,德國魯爾
1158,GPE,鳳山區
1196,GPE,新加坡
182,GPE,高雄左營
166,GPE,越南
163,GPE,泰國
151,GPE,緬甸
1087,GPE,小港區
330,GPE,高雄縣
598,GPE,甲仙
1232,GPE,大林
579,GPE,甲仙區
634,GPE,彰化縣
643,GPE,田尾鄉
658,GPE,彰化縣長
760,GPE,苓雅
776,GPE,亞洲
820,GPE,高雄亞洲
450,GPE,蘇炎城
833,GPE,旗津
847,GPE,鼓山
894,GPE,高市
391,GPE,美國
368,GPE,高雄縣市
356,GPE,台北市
354,GPE,苗栗縣
349,GPE,苓雅區
1002,GPE,美濃區
345,GPE,鳳山
1006,GPE,美濃
1028,GPE,高雄市議
131,GPE,日方
602,GPE,甲仙道
1348,GPE,小港區港
11,GPE,臺北國
64,GPE,熊本縣
79,GPE,中華民國
13,GPE,高雄市
1328,GPE,臺北市
50,GPE,日本
49,GPE,熊本
39,GPE,台南
126,GPE,熊本市
25,GPE,高雄
73,GPE,九州熊本縣
115,GPE,熊本縣市
82,GPE,台南市
85,GPE,台北
5,GPE,台灣
1436,GPE,北高
30,GPE,臺灣
86,GPE,台中
1265,GPE,苗栗
1412,GPE,中芸
32,GPE,旅德
102,LAW,高雄市壽山動物園認養辦法
765,LOC,新灣區
735,LOC,歐美
755,LOC,海峽兩岸區
834,LOC,鼓山
1370,LOC,中芸地區
1361,LOC,澄清湖
773,LOC,高雄港
780,LOC,高雄港灣
796,LOC,亞洲新灣區
870,LOC,鼓山輪渡站
859,LOC,哈瑪星
854,LOC,哈瑪星地區
846,LOC,西子灣
769,LOC,成功路
1346,LOC,仁大工業區
1240,LOC,鳳鼻頭地區
1142,LOC,臨海二路
1150,LOC,濱海二路
7,LOC,嘉義 文化園區
1183,LOC,左營區菁華區
1138,LOC,濱海一路
1200,LOC,東南亞
1205,LOC,亞太
691,LOC,亞洲
653,LOC,彰南地區
1223,LOC,高雄市小港區海線
1247,LOC,金山銀山
1102,LOC,鳳鼻頭
726,NORP,中國
65,NORP,日本人
57,NORP,日本
1201,NORP,高雄
915,NORP,高雄市
98,NORP,台灣
730,NORP,台商
197,NORP,高雄人
606,NORP,道教
223,NORP,日商
724,NORP,陸商
744,NORP,中資
304,NORP,仁武
797,ORG,高雄市政府地政局
800,ORG,統一集團夢時代購物中心
794,ORG,高雄國際展覽館
729,ORG,外貿協會
632,ORG,田尾鄉民代表會
818,ORG,台糖公司
1424,ORG,台北市政府
821,ORG,中美嘉吉
825,ORG,都市計畫
631,ORG,彰化縣陶笛樂團
630,ORG,台灣陶笛藝術發展協會
626,ORG,林務局
802,ORG,購物中心
792,ORG,高雄市都發局
779,ORG,亞洲
783,ORG,統一集團
733,ORG,國貿局
734,ORG,市府經濟發展局
693,ORG,國際會議協會
687,ORG,文生局長
683,ORG,經發局
761,ORG,市府工務局養工處
763,ORG,東南水泥
1426,ORG,高雄市政府民政局
791,ORG,美國總公司
669,ORG,彰化縣陶笛聯盟學校
768,ORG,日本森集團
661,ORG,高雄市仙境陶笛重奏樂團
655,ORG,彰化縣育德國小
772,ORG,高力國際
1425,ORG,北市府
1434,ORG,台南市政府民政局
641,ORG,田尾國小
638,ORG,夢翔齊飛樂團
767,ORG,高雄地政局
827,ORG,百 貨
992,ORG,國有財產署
1398,ORG,農委
1075,ORG,都發局
1077,ORG,工務局
1096,ORG,行政院
1099,ORG,經濟部長
1111,ORG,都發局局
1120,ORG,研考會
1123,ORG,經濟部
1127,ORG,中油
1131,ORG,市府研考會
1143,ORG,高雄市政府工務局
1144,ORG,台電公司
1154,ORG,高市府地政局
1155,ORG,地政局
1317,ORG,高雄市議員
1163,ORG,繼承會
1185,ORG, 地政局
1315,ORG, 市政府
1302,ORG,高市黨部
1296,ORG,高雄黨部
1291,ORG,聯想
1281,ORG,高雄市政府經發局
1204,ORG,東協
1206,ORG,高雄市政府農業局
1270,ORG,議會財政部門
1219,ORG,小港沿海六里遷村推動小組
1074,ORG,高雄市小港區沿海六里遷村推動小組
1069,ORG,台電
1063,ORG,楠梓加工區
1062,ORG,楠梓中油
843,ORG,交通局聯合環保局
880,ORG,環保局
1379,ORG,農委會
916,ORG,市府水利局
924,ORG,議會國民黨團
944,ORG,財政局
968,ORG,財經部門
975,ORG,勞健保補助
979,ORG,中央補
1378,ORG,漁業署
985,ORG,市府經發局
994,ORG,中央客家委
831,ORG,都委會
1001,ORG,市政府客委會
1369,ORG,市府海洋局
1009,ORG,福安菸葉輔導站
1013,ORG,客委會
1017,ORG,客家委員會
1023,ORG,水利局
1032,ORG,高雄市政府水利局
1036,ORG,經濟
1359,ORG,高雄煉油廠
1353,ORG,財經委員會
1056,ORG,工研院
1057,ORG,中油總公司
1059,ORG,楠梓中油廠區
1377,ORG,高市府海洋局
1058,ORG,楠梓創新研發園區
1442,ORG,北市府民政局
231,ORG,日商ＴＤＫ
441,ORG,民進黨團
274,ORG,台塑仁武廠
271,ORG,台塑集團
451,ORG,團結聯盟
453,ORG,議會
261,ORG,高雄市政府交通局
456,ORG,國民黨團
260,ORG,交通局
461,ORG,無黨團結聯盟
243,ORG,日月光
242,ORG,三菱東京日聯銀行
234,ORG,台 灣
340,ORG,公衛所
230,ORG,市府
226,ORG,東台精機公司
224,ORG,東台精機
221,ORG,日月暘
202,ORG,國會
188,ORG,民進黨
276,ORG,亦宛然掌中劇團
278,ORG,明華園歌仔戲團
425,ORG,高雄市議會
282,ORG,台塑
337,ORG,哈佛大學公共衛生學院
334,ORG,中研院生醫所
344,ORG,高雄阮綜合醫院
329,ORG,癌生物學系
1440,ORG,台北市政府 民政局
387,ORG,福特
320,ORG,陽明公衛所
318,ORG,陽明大學
311,ORG,高醫大
185,ORG,市議會
310,ORG,國民黨
307,ORG,北市衛生局
306,ORG,市黨部
303,ORG,紙風車劇團
300,ORG,明華園戲劇總團
406,ORG,國防部長
285,ORG,明華園總團
283,ORG,台塑企業
413,ORG,民主黨
416,ORG,華盛頓
309,ORG,陽明醫學系
180,ORG,中央
338,ORG,美國國家衛 生院
160,ORG,美國農村發展組織
33,ORG,工程會
63,ORG,Yahoo
564,ORG,高雄道德院
91,ORG,熊本縣政府
15,ORG,臺中國家歌劇院
103,ORG,壽山動物園
105,ORG,中宇環保工程公司
107,ORG,高市府觀光局
35,ORG,衛武營
111,ORG,正興輪胎
14,ORG,兩廳院
12,ORG,衛武國家藝術文化中心
120,ORG,高市府
121,ORG,高雄銀行公庫部
109,ORG,一卡通票證公司
123,ORG,高雄市政府社
511,ORG,高雄市政府
159,ORG,農業局
8,ORG,故宮南院
140,ORG,政府
139,ORG,熊本縣廳
4,ORG,文化部
134,ORG,高雄市政府社會局
124,ORG,社會局
517,ORG,日本交流協會
523,ORG,市政府
128,ORG,九州熊本震災
51,ORG,外交部
326,PERSON,朱立倫
1420,PERSON,鳳芸里
327,PERSON,林國正
314,PERSON,陳宜民
1019,PERSON,古秀妃
1400,PERSON,林岱 樺
28,PERSON,洪孟啟
1389,PERSON,林岱樺
31,PERSON,顏久榮
335,PERSON,陳寶輝
323,PERSON,黃柏霖
26,PERSON,衛武營藝術文化中心
75,PERSON,陳菊
53,PERSON,賴清德
195,PERSON,林全
157,PERSON,U Ba Myo Thein
1146,PERSON,趙建喬
246,PERSON,陳菊昨
1284,PERSON,詹永龍
1287,PERSON,黃彥毓
277,PERSON,王永在
1108,PERSON,鄧振中
100,PERSON,柯文哲
279,PERSON,明華園
280,PERSON,王詹樣
80,PERSON,馬英九
175,PERSON,蔡復進
70,PERSON,林佳龍
1080,PERSON,許立明
1368,PERSON,黃正忠
292,PERSON,沈英章
294,PERSON,孫翠鳳
295,PERSON,項羽
302,PERSON,許慧玉
610,PERSON, 奇
348,PERSON,陳皆興
343,PERSON,劉景寬
681,PERSON,林武忠
536,PERSON,林芳如
535,PERSON,羅鼎城
533,PERSON,李雨庭
530,PERSON,陳明澤
710,PERSON,汪志冰
529,PERSON,何權峰
528,PERSON,郭建盟
527,PERSON,俄鄧．殷艾
522,PERSON,李柏毅
518,PERSON,鄭光峰
516,PERSON,邱俊憲
752,PERSON,曾文生
514,PERSON,張豐藤
513,PERSON,陳慧文
509,PERSON,張漢忠
508,PERSON,翁瑞珠
507,PERSON,顏曉菁
505,PERSON,周玲妏
539,PERSON,陳導民
673,PERSON,鄭仁富
672,PERSON,陳素月
540,PERSON,伊斯坦大．貝雅夫．正福
583,PERSON,三清道祖
575,PERSON,崇仙亭
572,PERSON,清靜
565,PERSON,三清太
633,PERSON,陳榮茂
636,PERSON,陶笛家
560,PERSON,甲仙天
639,PERSON,陳若儀
558,PERSON,鍾盛有
503,PERSON,吳銘賜
557,PERSON,翁太明
650,PERSON,林守政
550,PERSON,三清太乙
548,PERSON,陳信瑜
543,PERSON,高閔琳
542,PERSON,康議長
662,PERSON,陳君瑞
664,PERSON,許世昌
665,PERSON,林明裕
667,PERSON,劉淑芳
646,PERSON,魏明谷
1011,PERSON,范佐銘
502,PERSON,林瑩蓉
497,PERSON,黃淑美
913,PERSON,劉馨正
412,PERSON,克林頓
917,PERSON,陸淑美
402,PERSON,小英
930,PERSON,陳美雅
942,PERSON,陳菊市長
401,PERSON,阿扁
951,PERSON,陳麗娜
400,PERSON,布希特
971,PERSON,簡振澄
396,PERSON,蔡英文
392,PERSON,愛德華甘迺迪
389,PERSON,Iran-contra scandal
386,PERSON,full pardon
997,PERSON,李永得
385,PERSON,尼克森
1004,PERSON,邱議瑩
1007,PERSON,黃莉莉
1008,PERSON,美濃謝鶴琳區長
911,PERSON,李雅靜
907,PERSON,陳玫娟
906,PERSON,曾麗燕
903,PERSON,黃紹庭
495,PERSON,簡煥宗
490,PERSON,陳政聞
489,PERSON,李喬如
787,PERSON,張國光
488,PERSON,陳順利
480,PERSON,李順進
468,PERSON,張勝富
466,PERSON,林民傑
460,PERSON,張勝盼
498,PERSON,林宛蓉
457,PERSON,蔡昌達
447,PERSON,黃石龍
442,PERSON,吳益政
440,PERSON,曾俊傑
837,PERSON,陳勁甫
439,PERSON, Caspar W. Weinberger 
431,PERSON,老布希
427,PERSON,福特
421,PERSON,陳水扁
419,PERSON,布希
454,PERSON,康裕成
0,PERSON,簡文彬
