,Class,NER
1399,EVENT,耘海輪事件
1449,EVENT,德翔台北貨輪事件
147,EVENT,臺南大地震
1247,GPE,香港
1156,GPE,越南
1144,GPE,印尼
1091,GPE,嘉義
1090,GPE,臺東縣
1085,GPE,連江
1074,GPE,臺中縣
1057,GPE,臺中市
1050,GPE,臺東
1,GPE,台灣
1042,GPE,高雄
990,GPE,新北
982,GPE,台南
907,GPE,宜蘭
875,GPE,北市
867,GPE,臺北市市區
726,GPE,大陸
685,GPE,智利
657,GPE,汐止
643,GPE,台東
590,GPE,臺北市
1270,GPE,南韓
1048,GPE,臺北
1420,GPE,澎湖
1518,GPE,中華民國
2264,GPE,花蓮
2232,GPE,花蓮縣
2201,GPE,芬蘭
2093,GPE,美方
2084,GPE,美國
2075,GPE,中國
2065,GPE,兩岸
2045,GPE,馬祖
2000,GPE,旭東
522,GPE,台北
1958,GPE,中國大陸
1889,GPE,金門
1846,GPE,屏東
1824,GPE,新竹
1819,GPE,雲林
1816,GPE,苗栗
1790,GPE,柏林
1777,GPE,丹麥
1715,GPE,法國
1711,GPE,林佳龍
1900,GPE,南港舊莊
497,GPE,浮洲
1127,GPE,菲律賓
189,GPE,基隆
31,GPE,內湖區
29,GPE,南港
26,GPE,台北市
245,GPE,臺灣
36,GPE,內湖
211,GPE,新北市
1411,LAW,海洋委員會組織法
2064,LAW,促轉條例
1733,LAW,廢清法
1723,LAW,食物銀行法
567,LAW,勞基法
911,LOC,港墘路
1425,LOC,石門洞
1427,LOC,富貴角
892,LOC,康寧路
1136,LOC,東南亞
929,LOC,陽光街
957,LOC,內湖路
1487,LOC,亞洲
838,LOC,建國南路
259,LOC,大台北地區
38,LOC,基隆河
914,LOC,中山北路
1749,LOC,歐美
613,LOC,欣湖
30,LOC,大台北都會區
2060,NORP,中華民
2079,NORP,美方
1145,NORP,印尼籍
717,NORP,台灣
2298,NORP,東華
1770,NORP,義大利
1195,NORP,臺灣人
1229,NORP,臺灣
1237,NORP,印尼
1162,NORP,越南籍
1458,ORG,衛福部醫事司
2183,ORG,志工銀行
1502,ORG,醫策會
1434,ORG,平台船
149,ORG,高雄瑞安國小
6,ORG,衛福部
5,ORG,疾管署
156,ORG,內政部
1997,ORG,靖娟兒童文教基金會
1521,ORG,法務部
2318,ORG, TPP 
2330,ORG,防檢局
163,ORG,台北市議會
1418,ORG,海洋保育署
2334,ORG,經濟部經貿談判代表辦公室
465,ORG,營建署
1374,ORG,國會
1330,ORG,勞團
1286,ORG,星巴克
4,ORG,教育部
1555,ORG,警政署
2136,ORG, B 公司
1607,ORG,國衛院
1952,ORG,托育中心
1947,ORG,國民黨
1924,ORG,中信集團
1909,ORG,竹科
2006,ORG,經濟部商業司
53,ORG,衛福部疾管署
1867,ORG,衛福部心口司
1841,ORG,臺北市議會
1828,ORG,健保局
1820,ORG,教育部國教署
94,ORG,衛福部健保署
122,ORG,全國醫師公會全聯會
1781,ORG,社環委員會
1775,ORG,衛福部食藥署
1273,ORG,印尼外勞發展署
1731,ORG,聯合國
130,ORG,CDC 
1707,ORG,中研院倫理委員會
1647,ORG,衛福部國衛院
2089,ORG,東廠
2113,ORG, A 公司
2115,ORG,總統府
1613,ORG,中研院
1972,ORG,鳳凰
1611,ORG,中央研究院
1562,ORG,矯正司
1404,ORG,海洋委員會
2383,ORG,食藥署
1258,ORG,歐盟
449,ORG,環保署
601,ORG,東華大學
888,ORG,台北市內科
877,ORG,台北市政府交通局
334,ORG,中選會
856,ORG,高公局
618,ORG,新境界文教基金會
808,ORG,台北市政府
785,ORG,國大
619,ORG,欣南
746,ORG,交通部
729,ORG, OECD 
346,ORG,台電
620,ORG,退輔會
