,Class,NER
20383,EVENT,八二三水災
1276,EVENT,澎湖耘海號事件
1265,EVENT,阿瑪斯號漏油事件
12590,EVENT,奧運
14667,EVENT,311 大地震
17014,EVENT,伊波拉疫情
21609,EVENT,勞資爭議
370,EVENT,衛生署流感疫情防治協調會報
5899,EVENT,世衛大會
3256,EVENT, 3 場溝通會
14556,EVENT,日本福島 311 核災
9344,EVENT,二讀會
6216,EVENT,瑪琳事件
18932,EVENT,普悠瑪事件
14488,EVENT,第 8 次會議
14496,EVENT,核二廠 2 號機跳電事件
20373,EVENT,八二三
21813,EVENT,六輕氣爆事件
1289,EVENT,耘海號事件
15736,EVENT,國光石化案
5777,EVENT,永采烘焙坊事件
10732,EVENT,院會
20430,EVENT,馬立克案件
20554,EVENT,八仙塵爆事件
20575,EVENT,衛爾康
20185,EVENT,勞動基準諮詢會議
19975,EVENT,公投第 7 案
1374,EVENT,茲卡
1874,GPE,新北市
19162,GPE,忠清南道
2386,GPE,中國大陸
6925,GPE,嘉義市
19062,GPE,黎巴嫩
6860,GPE,基隆
6809,GPE,智利
12988,GPE,金沙鎮
2370,GPE,中山區
8346,GPE,衛福
14479,GPE,雲林縣台西鄉
2570,GPE,金山
12985,GPE,臺南
14490,GPE,新埔
20347,GPE,馬立克
14501,GPE,千葉
2669,GPE,北市
14475,GPE,台中龍井
14158,GPE,中華
13395,GPE,深澳
13594,GPE,板橋
13827,GPE,北北
19293,GPE,台西村
19287,GPE,大城鄉
2049,GPE,中華民國
13590,GPE,中永和
13919,GPE,東京市區
19277,GPE,竹塘
13526,GPE,九份
1771,GPE,加坡
8041,GPE,衛生福
1718,GPE,加拿大
19255,GPE,竹塘鄉
1683,GPE,澳洲
14090,GPE,惠台
19245,GPE,大城鄉台西村
19241,GPE,麥寮
2184,GPE,新竹市
2194,GPE,嘉義
2217,GPE,臺北市
19236,GPE,彰化縣大城鄉台西村
19229,GPE,西港村
19226,GPE,頂庄村
6477,GPE,廣州
10210,GPE,高雄左營
6448,GPE,荷蘭
5590,GPE,洛杉磯
16958,GPE,路竹
3841,GPE,印尼
3842,GPE,越南
3848,GPE,菲律賓
16926,GPE,布國
10862,GPE,高雄小港區
3964,GPE,金門
5556,GPE,倫敦
3986,GPE,花蓮
5534,GPE,北京
5499,GPE,新德里
14699,GPE,草屯鎮
14716,GPE,雲林縣口湖鄉
4025,GPE,新北
14740,GPE,莿桐
5235,GPE,希臘
15281,GPE,開曼
15426,GPE,松山區
15562,GPE,桃園平鎮
5008,GPE,加國
4978,GPE,加方
4975,GPE,福島
15702,GPE,桃園觀塘
4797,GPE,蜜月灣
4774,GPE,臺中
15719,GPE,北港
16973,GPE,豐濱
5705,GPE,林口
17012,GPE,長濱
3711,GPE,兩岸
18009,GPE,深澳坑
6377,GPE,北韓
2856,GPE,基隆市
2862,GPE,新竹縣
14512,GPE,櫪木
14515,GPE,雲林縣林內
14531,GPE,光明段
6276,GPE,高麗
17838,GPE,觀塘
2985,GPE,雲林縣
2995,GPE,雲林虎尾
17686,GPE,大武
3016,GPE,雲林縣政府
6476,GPE,上海
3062,GPE,臺中市
14568,GPE,深澳灣
14577,GPE,南投縣南投市
3086,GPE,大陸
14584,GPE,群馬
14591,GPE,雲林縣斗六市
14625,GPE,茨城
5921,GPE,日方
3285,GPE,中南
17067,GPE,布卲納法索
17065,GPE,花蓮市
17060,GPE,西非
17051,GPE,雲南
14659,GPE,芳苑鄉
14560,GPE,彰化縣大城
2852,GPE,彰化縣
4688,GPE,宜蘭縣
8481,GPE,臺中霧峰
460,GPE,巴黎
10268,GPE,花蓮關山
10240,GPE,臺東
22753,GPE,挪威
503,GPE,韓國
10215,GPE,屏東潮州
10202,GPE,宜蘭
547,GPE,高雄
10173,GPE,屏東恆春
11377,GPE,奧地利
11378,GPE,加州
587,GPE,法國
11403,GPE,比利時
635,GPE,瑞士
11404,GPE,美國加州
11428,GPE,新竹
12933,GPE,烈嶼鄉
11440,GPE,嘉義縣大埔鄉
687,GPE,台北市
11448,GPE,金門縣烏坵鄉
11457,GPE,屏東縣
11497,GPE,嘉義縣
713,GPE,台中
716,GPE,雲林
739,GPE,台東
21340,GPE,韓市長
9266,GPE,苗栗
10286,GPE,大林埔
859,GPE,南投縣
10306,GPE,南投
23425,GPE,西班牙
24230,GPE,馬來西亞
7,GPE,香港
10593,GPE,瑞典
9,GPE,臺灣
11,GPE,日本
24177,GPE,南韓
16,GPE,新加坡
11116,GPE,丹麥
30,GPE,台灣
24072,GPE,臺中縣
48,GPE,英國
53,GPE,矽谷
56,GPE,臺灣矽谷
10495,GPE,太保市
134,GPE,美國
11177,GPE,芬蘭
11212,GPE,雉林縣
10401,GPE,蘇丹
11214,GPE,大林蒲
249,GPE,臺北
10338,GPE,青森
10325,GPE,岩手
23566,GPE,美方
23549,GPE,浙江
23543,GPE,武漢
23464,GPE,義大利
10313,GPE,印度
399,GPE,中國
21299,GPE,澳門
21951,GPE,成都
8937,GPE,屏東南門
20887,GPE,大阪
1050,GPE,德國
8887,GPE,三義
1371,GPE,台南市
1370,GPE,埃及
1362,GPE,台南
8941,GPE,屏東恆春南門
21166,GPE,民國
1406,GPE,高屏
898,GPE,桃園
9180,GPE,日內瓦
1412,GPE,巴西
1359,GPE,屏東
1245,GPE,澎湖
885,GPE,桃園市
1290,GPE,台北
1358,GPE,泰國
870,GPE,彰化
1456,GPE,內湖
869,GPE,台中市
865,GPE,桃園市蘆竹鄉
20755,GPE,大潭
12922,GPE,苗栗縣
8920,GPE,桃園龍潭
327,LAW,健保法
136,LAW,勞基法
20632,LAW,兒少權益保障法
3916,LAW,全民健保法
23973,LAW,空污法
14688,LAW,"第一百三十條
條文修正草案"
20630,LAW,兒少福權法
14672,LAW,海岸管理法
3639,LAW,勞退條例
19461,LAW,公投法
14647,LAW,家事事件法部分條文修正草案
11239,LAW,刑事訴訟法
6900,LAW,組織法
24021,LAW,國土計畫法部分條文修正草案
24249,LAW,地方自治條例
4751,LAW,環評法
4765,LAW,建築法
16076,LAW,服役條例
1552,LAW,施行法
16186,LAW,老農津貼暫行條例
16268,LAW,毒管法
16286,LAW,消防法
15623,LAW,野保法
1594,LAW,羈押法
12673,LAW,促轉條例
20545,LAW,道路交通安全條例
1616,LAW,科技基本法
14917,LAW,漁業法
13051,LAW,化粧品管理條例
14735,LAW,私立學校法部分條文修正草案
4049,LAW,職災保險專法
13071,LAW,藥事法
19843,LAW,衛生管理法
19019,LAW,原基法
8882,LAW,巴賽爾公約
23998,LAW,行政訴訟法
1661,LAW,廢清法
7490,LAW,刑法
14509,LAW,公民投票法
2179,LAW,無微粒水域法
21054,LAW,非屬藥事法
17401,LAW,管理法
21062,LAW,民航法
21144,LAW,勞保年改條例
2823,LAW,衛生管理條例
21808,LAW,災防法
14503,LAW,集會遊行法修正草案
6440,LAW,兩岸條例
12448,LAW,勞基法修法
21172,LAW,民用航空法
6518,LAW,憲法
14491,LAW,中華民國憲法
9586,LAW,預算法
21329,LAW,港澳條例
14440,LAW,好鄰居條款
2528,LAW,勞工保障法
2519,LAW,勞工保護法
2486,LAW,國民年金法
6765,LAW,兩岸協議監督條例
12217,LAW,勞工退休金條例
573,LAW,就服法
13760,LAW,電業法
2069,LAW,所得稅法
2061,LAW,產業創新條例
1293,LAW,商港法
2048,LAW,國籍法
2064,LAW,中小企業發展條例
14540,LAW,區域計畫法
17478,LAW,食安法
3274,LAW,國立熱帶醫學中心組織法草案
11317,LAW,國年金法
2062,LAW,有限合夥法
24374,LAW,環保署組織法
22821,LAW,藥師法
15656,LOC,臺中港
6000,LOC,小琉球
14532,LOC,台灣蘭嶼
11657,LOC,北中南
10314,LOC,東南亞
4770,LOC,蜜月灣
12608,LOC,大林蒲地區
14662,LOC,大湖段
9704,LOC,大潭
6442,LOC,大陸
6493,LOC,歐洲
14028,LOC,番仔澳
15270,LOC,開曼群島
11162,LOC,濁水溪
14967,LOC,關山
6431,LOC,中國大陸
14739,LOC,西螺濁水溪
10385,LOC,日本福島
13930,LOC,美麗灣
13938,LOC,東京灣
14534,LOC,東半球
13465,LOC,台北盆地
13407,LOC,深澳地區
11172,LOC,小港地區
14502,LOC,台灣
10307,LOC,南投站
10831,LOC,竹苗地區
17652,LOC,花東
1399,LOC,亞洲
3816,LOC,兩岸
19269,LOC,屏東
1380,LOC,台南地區
1318,LOC,耘海
17017,LOC,非洲
17035,LOC,中東
2359,LOC,松山區
20841,LOC,北半球
2407,LOC,中山區
3981,LOC,桃園
19411,LOC,台北市中山區林森北路
3989,LOC,北歐
721,LOC,淡水河
704,LOC,新店溪
18004,LOC,觀塘
17885,LOC,深澳
2772,NORP,台灣
21415,NORP,中聯辦
2585,NORP,科威特籍
14686,NORP,我國籍
9389,NORP,兩岸人
6359,NORP,美商
9888,NORP,台南
6102,NORP,中醫
14145,NORP,台灣人
6337,NORP,蒙古
2982,NORP,雲林人
9173,NORP,衣索比亞籍
9100,NORP,美方
2536,NORP,外籍
3712,NORP,亞洲
6300,NORP,中藥
1322,NORP,紐埃籍
6497,NORP,中國
13562,NORP,民進黨
10347,NORP,日方
518,NORP,東南亞
1490,NORP,英國
22,NORP,臺灣
11096,NORP,法國
8,NORP,臺灣人
10327,NORP,日本人
19380,NORP,亞洲人
4988,NORP,加拿大
