,Class,NER
0,EVENT,莫拉克颱風
32,EVENT,台中捷運
31,EVENT,第21 次會議
30,EVENT, 5 場公聽會
29,EVENT,立法院院會
28,EVENT, 921
26,EVENT,敬鵬事件
25,EVENT,聯合國氣象變遷會議
24,EVENT,七一三事件
23,EVENT,道格颱風
22,EVENT,蘇澳大橋事件
21,EVENT,全國觀光發展會議
20,EVENT,南方澳大橋事件
19,EVENT,東京奧運
18,EVENT,八仙塵暴
17,EVENT,花蓮事件
27,EVENT,奧運
15,EVENT,肯亞案
16,EVENT,普悠瑪事件
1,EVENT,戴奧辛毒雞蛋事件
2,EVENT,尼莎和海棠颱風
3,EVENT,全國勞工行政會議
5,EVENT,冷戰
6,EVENT,八仙塵爆案
7,EVENT,全國勞工行政主管聯繫會報
4,EVENT,深澳電廠事件
9,EVENT,拉法葉案
10,EVENT,二二八
11,EVENT,二二八事件
12,EVENT,全國反毒會議
13,EVENT,湯姆熊事件
8,EVENT, H1N1 
14,EVENT,漢光演習
170,GPE,臺灣
169,GPE,竹山
168,GPE,埔里
167,GPE,二水
165,GPE,水里
164,GPE,台東
171,GPE,千葉
163,GPE,台灣
166,GPE,中興新村
172,GPE,高雄
180,GPE,汐止
174,GPE,高雄岡山
175,GPE,田中
176,GPE,星馬
177,GPE,福島
178,GPE,臺東
179,GPE,台中
181,GPE,南投縣水里鄉
182,GPE,林內
183,GPE,日本
162,GPE,集集縣
173,GPE,南投
161,GPE,集集
143,GPE,紐西蘭
158,GPE,玉里
136,GPE,昆山
137,GPE,林口
138,GPE,斗六市
139,GPE,澎湖
140,GPE,紐約
141,GPE,苗栗
142,GPE,嘉義縣
184,GPE,南投草屯
144,GPE,台中縣
145,GPE,大埔
160,GPE,信義鄉
146,GPE,魚池
148,GPE,台澎金馬
149,GPE,南投縣民
150,GPE,北市
151,GPE,觀塘
152,GPE,彰投
153,GPE,比利時
154,GPE,清境
155,GPE,巴黎
156,GPE,員林
157,GPE,南投市
147,GPE,烏坵
185,GPE,雲林林
201,GPE,香港
187,GPE,濁水
214,GPE,花蓮
215,GPE,法國
216,GPE,中醫
217,GPE,越南
218,GPE,新德里
219,GPE,斗六
220,GPE,埃及
221,GPE,枋寮
222,GPE,南投埔里
223,GPE,馬來西亞
224,GPE,大陸
225,GPE,首爾
226,GPE,慕尼黑
227,GPE,苗栗縣
228,GPE,國姓
229,GPE,印尼
230,GPE,加拿大
231,GPE,澳洲
232,GPE,義大利
233,GPE,韓國
234,GPE,巴拿馬
213,GPE,高雄市
212,GPE,鹿谷
211,GPE,水里鄉
210,GPE,嘉義
188,GPE,雲林
189,GPE,南投縣
190,GPE,中興新村地區
191,GPE,彰化縣
192,GPE,花東
193,GPE,黃埔新村
194,GPE,美東
195,GPE,草屯
196,GPE,英國
197,GPE,新加坡
186,GPE,烏日
198,GPE,大馬
200,GPE,林德福
135,GPE,興達
202,GPE,彰化
203,GPE,以色列
204,GPE,德國
205,GPE,肯亞
206,GPE,南投縣草屯鎮
207,GPE,基隆
208,GPE,桃園
209,GPE,漢堡
199,GPE,中華民國
134,GPE,大林
159,GPE,台北
132,GPE,亞太
59,GPE,臺中
60,GPE,新北市
61,GPE,台北市
62,GPE,日據
63,GPE,馬國
64,GPE,印度
65,GPE,美方
66,GPE,中國大陸
67,GPE,臺南
68,GPE,北京
58,GPE,土耳其
69,GPE,屏東
71,GPE,宜蘭縣 14 區
72,GPE,臺北
73,GPE,陸方
74,GPE,連江
75,GPE,泰國
76,GPE,中華
77,GPE,台中市
78,GPE,兩岸
79,GPE,南投中興新村
80,GPE,東德
70,GPE,馬祖
81,GPE,臺中市
57,GPE,新竹
55,GPE,信義鄉明德村
33,GPE,南投縣信義鄉
34,GPE,宜蘭
35,GPE,菲律賓
36,GPE,南韓
37,GPE,芬蘭
38,GPE,福建
39,GPE,倫敦
40,GPE,苗栗南莊
133,GPE,通霄
42,GPE,美國
56,GPE,武漢
43,GPE,臺北市
45,GPE,上海
46,GPE,鹿谷鄉
47,GPE,柬埔
48,GPE,柬埔寨
49,GPE,溪頭
50,GPE,寮國
51,GPE,汶萊
52,GPE,東埔
53,GPE,魚池鄉
54,GPE,竹東
44,GPE,南方澳
82,GPE,仁愛鄉
41,GPE,媽祖
84,GPE,廈門
110,GPE,霧峰
111,GPE,閩南
112,GPE,草屯鎮
113,GPE,屏東縣
114,GPE,中寮鄉
115,GPE,新北
116,GPE,挪威
117,GPE,恆春
119,GPE,南投縣林縣長
120,GPE,臺南市
109,GPE,中興
121,GPE,雲林縣
123,GPE,台中東勢
124,GPE,芳苑
125,GPE,大里
126,GPE,中國
127,GPE,南投縣中興新村
128,GPE,東京
129,GPE,高屏
130,GPE,長灘島
131,GPE,成都
83,GPE,臺灣人
122,GPE,新社
108,GPE,南投縣林
118,GPE,大林蒲
107,GPE,台南市長
85,GPE,金門
87,GPE,石岡
88,GPE,台中縣市
89,GPE,日內瓦
90,GPE,麥寮
91,GPE,安坑
92,GPE,臺灣省
93,GPE,深澳
94,GPE,信義
95,GPE,沖繩
96,GPE,桃園市
86,GPE,臺北縣長
98,GPE,台南市
99,GPE,台中市市
100,GPE,崇倫
101,GPE,埔里鎮
102,GPE,台東美麗灣
103,GPE,福岡
104,GPE,中弖
105,GPE,名間
97,GPE,台南
106,GPE,台中清水
267,LAW,兩岸關係條例
266,LAW,民法
265,LAW,資安中心設置條例
261,LAW,保護法
263,LAW,航港局組織法
262,LAW,聯合國海洋法公約
268,LAW,憲法
260,LAW,醫師法
264,LAW,職安法
269,LAW,政院版
273,LAW,法警職權行使法草案
271,LAW,中央政府機關基準法
272,LAW,廢清法
274,LAW,法警職權行使法
275,LAW,勞基法
276,LAW,醫療法
277,LAW,農發母法
278,LAW,農田水利會組織通則修法
279,LAW,公立教職員退休資遣撫卹條例
280,LAW,公務人員退休法
259,LAW,文物條例
270,LAW,災防法
258,LAW,原基法立法
252,LAW,公務人員協會法
