,Class,NER
0,EVENT,莫拉克颱風
4979,EVENT,戴奧辛毒雞蛋事件
10021,EVENT,尼莎和海棠颱風
6629,EVENT,全國勞工行政會議
6643,EVENT,深澳電廠事件
7425,EVENT,冷戰
7427,EVENT,八仙塵爆案
7430,EVENT,全國勞工行政主管聯繫會報
118,EVENT, H1N1 
117,EVENT,拉法葉案
116,EVENT,二二八
114,EVENT,二二八事件
113,EVENT,全國反毒會議
112,EVENT,湯姆熊事件
111,EVENT,漢光演習
108,EVENT,肯亞案
8246,EVENT,普悠瑪事件
8269,EVENT,花蓮事件
11980,EVENT,八仙塵暴
11978,EVENT,東京奧運
10990,EVENT,南方澳大橋事件
10970,EVENT,全國觀光發展會議
15071,EVENT,蘇澳大橋事件
15068,EVENT,道格颱風
4964,EVENT,七一三事件
4282,EVENT,聯合國氣象變遷會議
5701,EVENT,敬鵬事件
10017,EVENT,奧運
2346,EVENT, 921
3620,EVENT,立法院院會
1768,EVENT, 5 場公聽會
1,EVENT,第21 次會議
2,EVENT,台中捷運
10138,GPE,南投縣信義鄉
227,GPE,宜蘭
228,GPE,菲律賓
234,GPE,南韓
13179,GPE,芬蘭
170,GPE,福建
169,GPE,倫敦
13160,GPE,苗栗南莊
12118,GPE,媽祖
168,GPE,美國
167,GPE,臺北市
11157,GPE,南方澳
171,GPE,上海
2992,GPE,鹿谷鄉
166,GPE,柬埔
165,GPE,柬埔寨
10223,GPE,溪頭
10184,GPE,寮國
10183,GPE,汶萊
10179,GPE,東埔
10176,GPE,魚池鄉
10139,GPE,竹東
10137,GPE,信義鄉明德村
11154,GPE,武漢
187,GPE,新竹
174,GPE,土耳其
185,GPE,臺中
188,GPE,新北市
189,GPE,台北市
191,GPE,日據
193,GPE,馬國
194,GPE,印度
195,GPE,美方
199,GPE,中國大陸
200,GPE,臺南
201,GPE,北京
184,GPE,屏東
183,GPE,馬祖
204,GPE,宜蘭縣 14 區
208,GPE,臺北
182,GPE,陸方
217,GPE,連江
221,GPE,泰國
223,GPE,中華
181,GPE,台中市
180,GPE,兩岸
179,GPE,南投中興新村
178,GPE,東德
177,GPE,臺中市
176,GPE,仁愛鄉
175,GPE,臺灣人
172,GPE,廈門
173,GPE,金門
9280,GPE,臺北縣長
9312,GPE,石岡
4422,GPE,台中縣市
772,GPE,日內瓦
4421,GPE,麥寮
4419,GPE,安坑
4395,GPE,臺灣省
4389,GPE,深澳
4370,GPE,信義
4364,GPE,沖繩
3640,GPE,桃園市
1795,GPE,台南
1800,GPE,台南市
1828,GPE,台中市市
1845,GPE,崇倫
1880,GPE,埔里鎮
4426,GPE,台東美麗灣
1888,GPE,福岡
1895,GPE,中弖
2428,GPE,名間
2432,GPE,台中清水
2436,GPE,台南市長
2441,GPE,南投縣林
2442,GPE,中興
2447,GPE,霧峰
2450,GPE,閩南
2456,GPE,草屯鎮
2486,GPE,屏東縣
3111,GPE,中寮鄉
3107,GPE,新北
3091,GPE,挪威
3083,GPE,恆春
1892,GPE,大林蒲
