,Class,NER
2318,EVENT,二二八
2425,EVENT,拉法葉案
2271,EVENT,肯亞案
196,EVENT,台中捷運
476,EVENT,莫拉克颱風
3561,EVENT,全國反毒會議
3171,EVENT, H1N1 
269,EVENT,第21 次會議
2330,EVENT,二二八事件
1779,EVENT,湯姆熊事件
397,GPE,員林
329,GPE,臺灣
1485,GPE,大陸
516,GPE,信義鄉
346,GPE,千葉
1473,GPE,德國
2506,GPE,臺中市
3196,GPE,土耳其
3146,GPE,臺北
3151,GPE,美方
2011,GPE,肯亞
3159,GPE,澳洲
354,GPE,玉里
387,GPE,彰化縣
1125,GPE,美國
1461,GPE,漢堡
403,GPE,竹山
396,GPE,田中
1466,GPE,英國
1824,GPE,宜蘭縣 14 區
1493,GPE,巴拿馬
846,GPE,彰化
2689,GPE,泰國
2747,GPE,印尼
912,GPE,香港
936,GPE,新加坡
699,GPE,日本
2091,GPE,馬來西亞
2090,GPE,大馬
2855,GPE,仁愛鄉
650,GPE,台北
630,GPE,黃埔新村
1517,GPE,中國
2074,GPE,臺灣人
2658,GPE,北京
2656,GPE,台北市
2591,GPE,馬國
1503,GPE,義大利
2985,GPE,福島
3008,GPE,中華民國
599,GPE,中興新村
2054,GPE,兩岸
2040,GPE,陸方
325,GPE,二水
3243,GPE,韓國
1558,GPE,加拿大
131,GPE,南投縣草屯鎮
126,GPE,草屯
1370,GPE,台中市
1866,GPE,以色列
91,GPE,雲林林
88,GPE,南投草屯
3744,GPE,柬埔寨
77,GPE,林內
64,GPE,烏日
63,GPE,台中
57,GPE,雲林
54,GPE,南投縣
50,GPE,中興新村地區
48,GPE,南投市
45,GPE,花東
3752,GPE,柬埔
2285,GPE,南韓
38,GPE,高雄岡山
35,GPE,南投
8,GPE,台灣
1794,GPE,臺南
2218,GPE,埃及
2306,GPE,菲律賓
768,GPE,高雄
1317,GPE,南投中興新村
3284,GPE,臺中
300,GPE,濁水
1940,GPE,慕尼黑
3286,GPE,法國
291,GPE,集集
290,GPE,集集縣
286,GPE,台東
2413,GPE,新竹
2385,GPE,新北市
3300,GPE,比利時
1937,GPE,首爾
1755,GPE,林德福
3350,GPE,巴黎
2357,GPE,日據
1728,GPE,臺北市
198,GPE,埔里
183,GPE,國姓
2239,GPE,越南
225,GPE,水里
1115,LAW,憲法
1264,LAW,刑事訴訟法
1049,LAW,文物條例
2580,LAW,資安中心設置條例
2301,LAW,兩岸關係條例
2250,LAW,刑法
2566,LAW,資安科技中心設置條例
3057,LAW,勞基法
742,LAW,文資法
3670,LAW,原基法立法
1883,LAW,公務人員退休法
1626,LAW,航港局組織法
2721,LOC,東南亞
1459,LOC,兩岸
2225,LOC,大陸
280,LOC,車埕
1233,LOC,濁水溪
2344,LOC,金馬
391,LOC,南投市區
1297,LOC,信義路
1300,LOC,仁愛路
167,LOC,日月潭
2279,LOC,大陸地區
3288,LOC,亞太
564,LOC,桃園機場
1987,LOC,亞洲
855,LOC,花東地區
1532,LOC,歐州
2687,LOC,東北亞
2127,LOC,海峽
615,LOC,中興新村
1508,LOC,歐洲
2047,NORP,臺灣人
3758,NORP,臺籍
728,NORP,美式
3493,NORP,大陸
1579,NORP,台灣人
3412,NORP,民進黨
2234,NORP,英國
214,NORP,邵族
1501,NORP,歐洲人
620,NORP,日本
2251,NORP,台籍
2213,NORP,越南
1452,NORP,英國人
3208,NORP,台灣籍
2982,NORP,漢人
2067,NORP,臺灣
1562,NORP,英國籍
3169,NORP,美國
524,NORP,台灣
3148,NORP,美方
3248,NORP,土耳其
2207,NORP,陸人
2025,NORP,肯亞
1867,ORG,陸委會
2070,ORG,行政院陸委會
1878,ORG,中研院
2016,ORG,兩岸法律司
2156,ORG,刑事局
1885,ORG,浩鼎
1870,ORG,銓敘部
2079,ORG,警政署
6,ORG,審計部
2351,ORG,國民政府
2967,ORG,共同社
2970,ORG,眾議院
2990,ORG,聯合國
3046,ORG,八德外役監
3069,ORG,勞動部
3073,ORG,司法委員會
3123,ORG,衛福部疾管署
3133,ORG,美國 NIH
3157,ORG,WHO
3180,ORG,WHA
2922,ORG,臺南地院
3285,ORG,亞太防制洗錢組織
3352,ORG,法務部調查局
3362,ORG,凱達格蘭基金會
3519,ORG,台電
3568,ORG,內政部警政署刑事局
3612,ORG,二二八基金會
3627,ORG,林務局
3666,ORG,臺大
3684,ORG,農委會
3779,ORG,國防部
3786,ORG,國防部海軍
3345,ORG,外交部條約法律司
2343,ORG,二二八事件基金會
2913,ORG,漁洋公司
2817,ORG,刑事警察局
2356,ORG,促轉會
2428,ORG,大統公司
2433,ORG,高檢署
2453,ORG,彰化衛生局
2462,ORG,中正大學犯罪防治中心
2468,ORG,高雄地方法院
2478,ORG,法官學院
2482,ORG,臺北高等行政法院
2501,ORG,臺北行政法院法官學院
2516,ORG,中正大學
2839,ORG,調查局
2543,ORG,法官評鑑委員會
2574,ORG,資安科技中心
2584,ORG,技服中心
2676,ORG,馬國行政院
2680,ORG,北科
2684,ORG,日文系
2718,ORG,台大
1831,ORG,聯合國大糧組織
2735,ORG,暨南大學
2767,ORG,親民黨
2798,ORG,正副院長
2549,ORG,國教院
2723,ORG,政大
3860,ORG,司法院人事審議委員會
1796,ORG,衛福部心理及口腔健康司
422,ORG,廉政署
421,ORG,公路總局
1153,ORG,國民大會
1163,ORG,議事處
1188,ORG,水利署
352,ORG,臺鐵局
322,ORG,交通部臺灣港務公司
1252,ORG,民進黨
1256,ORG,頂新
1279,ORG,監察院
321,ORG,臺灣港務公司
315,ORG,鐵路局
684,ORG,南投文化局
267,ORG,食藥署
1340,ORG,南投縣政府
249,ORG,北捷
1356,ORG,財政部
1372,ORG,中原大學
1382,ORG,中山科學院
1139,ORG,國民黨
237,ORG,台鐵局
427,ORG,路總局
450,ORG,內政部警政署
688,ORG,省政府
623,ORG,科技部
703,ORG,教育部
743,ORG,文化部
813,ORG,臺鐵
607,ORG,經濟部
605,ORG,工研院
603,ORG,中興分局
910,ORG,法務部
930,ORG,廉政會
937,ORG,矯正署
1045,ORG,司法院
571,ORG,桃機公司
1046,ORG,總統府
1047,ORG,國發會檔案管理局
541,ORG,圓山空廚
1061,ORG,中選會
499,ORG,世界銀行
487,ORG,運研所
1102,ORG,國會
1413,ORG,衛福部農委會
299,ORG,成大
1417,ORG,中科
1635,ORG,歐盟
1650,ORG,海洋委員會
1653,ORG,行政院海巡署
1665,ORG,航港局
1414,ORG,中科院
113,ORG,中興醫院
97,ORG,行政院
1705,ORG,院會
95,ORG,衛福部
1716,ORG,國民黨黨團
1724,ORG,美國國會
82,ORG,教部
43,ORG,環保署
1732,ORG,司法院刑事廳
1765,ORG,衛生局
1771,ORG,臺北市刑警大隊
10,ORG,內政部
1634,ORG,國家資通安全科技中心
1623,ORG,海巡署
1666,ORG,研考會
180,ORG,觀光局
1428,ORG,中部科學園區管理局
202,ORG,立法院
199,ORG,原民會
1453,ORG,臺灣高等法院檢察署
1467,ORG,外交部
152,ORG,交通部
176,ORG,台北捷運局
1518,ORG,蘇格蘭愛丁堡法院
169,ORG,中央
629,ORG,中科管理局
1617,ORG,漁業署
1603,ORG,婦聯會
157,ORG,台鐵
3776,PERSON,喜明
613,PERSON,孟啟
3201,PERSON,文琪
2979,PERSON,拔路兒
420,PERSON,興華
3772,PERSON,邱太三多
140,PERSON,丙煌
153,PERSON,建宇
7,PERSON,淑華
2943,PERSON,白皮書裡
2940,PERSON,童振源
2927,PERSON,林全
3836,PERSON,胡景彬
624,PERSON,吳敦義
616,PERSON,爵民
2973,PERSON,美伶
40,PERSON,國彥
3325,PERSON,首翰
3038,PERSON,基本法
587,PERSON,孝德
272,PERSON,永暉
566,PERSON,鴻鈞
296,PERSON,泰興
426,PERSON,歐珀
313,PERSON,主席
3559,PERSON,孔繁錦
3117,PERSON,啟功
3118,PERSON,旭崧
3635,PERSON,夷將
3628,PERSON,佩珊
428,PERSON,許添財
440,PERSON,大仁
3184,PERSON,泰釗
1042,PERSON,太郎
2849,PERSON,張善政
2327,PERSON,蔣公
2323,PERSON,李登輝
2322,PERSON,孔文吉
2320,PERSON,馬英九
2319,PERSON,還水扁
1345,PERSON,劉兆玄
1390,PERSON,蔡玉玲
1450,PERSON,林克穎
2223,PERSON,東麗
1472,PERSON,邦樑
2178,PERSON,羅瑩雪
2146,PERSON,徐永明
1581,PERSON,純敬
2113,PERSON,陳定南
1333,PERSON,蔡英文
2089,PERSON,黃國昌
2029,PERSON,俊賢
1674,PERSON,第 
2015,PERSON,陳忠
3853,PERSON,新毅
2005,PERSON,惠芬
1942,PERSON,鵬良
1924,PERSON,浩鼎
1899,PERSON,文宏
1887,PERSON,焜元
1751,PERSON,明堂
1753,PERSON,明弘
1775,PERSON,雍敏
1863,PERSON,翁啟惠
1862,PERSON,哲琛
1619,PERSON,明錫
1313,PERSON,長林全
1290,PERSON,威仁
2361,PERSON,植谷
2836,PERSON,陳龍綺
2834,PERSON,明謀
2829,PERSON,呂介閔
693,PERSON,蔡政委
706,PERSON,嚴家淦
718,PERSON,蔡勳雄
776,PERSON,陳碧涵
868,PERSON,陳素月
2717,PERSON,陳良基
2695,PERSON,騰蛟
893,PERSON,瑩雪
1041,PERSON,旭琳
1818,PERSON,志清
2636,PERSON,賴素如
2612,PERSON,永煌
1055,PERSON,光華
1064,PERSON,義周
1241,PERSON,魏應充
1198,PERSON,善政
1172,PERSON,振中
2450,PERSON,拉法葉
2458,PERSON,瓊文
1152,PERSON, 342 號
