,Class,NER
4868,EVENT,台灣颱風
93,EVENT,亞洲盃
8376,EVENT,康芮颱風
2295,EVENT, 9 大公股銀行會議
1497,EVENT,第十四案
228,EVENT,馬習會
963,EVENT,美國經濟復甦
4712,EVENT,第二次世界大戰
5050,EVENT,亞銀年會
5056,EVENT,奧運
4198,EVENT, BOT 案
511,GPE,韓國
494,GPE,昆山
466,GPE,淮南
517,GPE,德國
519,GPE,中方
382,GPE,香港
451,GPE,漢城
8038,GPE,平潭
5600,GPE,匈牙利
431,GPE,日本
396,GPE,英國
3660,GPE,波士頓
6662,GPE,荷蘭
379,GPE,兩岸
8084,GPE,崑山
8111,GPE,雲林縣
353,GPE,北捷日
5529,GPE,桃園
3671,GPE,臺北
563,GPE,中華民國
550,GPE,新加坡
6150,GPE,深圳
2394,GPE,馬祖
6997,GPE,高雄
4293,GPE,福建金門
6978,GPE,澳門
5995,GPE,台港
2378,GPE,金門
690,GPE,亞太
5974,GPE,台滬
1427,GPE,三重
542,GPE,盧森堡
5894,GPE,馬英九
2750,GPE,南韓
928,GPE,台北市
6359,GPE,北歐丹麥
3726,GPE,矽谷
595,GPE,吳壽山
2322,GPE,福島
569,GPE,倫敦
5651,GPE,俄國
2320,GPE,橫濱
8118,GPE,苗栗縣
6347,GPE,瑞典
8140,GPE,高雄市
2572,GPE,法國
346,GPE,台北
105,GPE,京東
8579,GPE,台南市
4777,GPE,瑞芳
8662,GPE,菲律賓
4785,GPE,新竹市
8882,GPE,希臘
8933,GPE,新北
41,GPE,大陸
37,GPE,福建
5467,GPE,桃園市
4838,GPE,新北市
9205,GPE,中華人民共和國
4866,GPE,林口
9300,GPE,古巴
14,GPE,台灣
13,GPE,中國
11,GPE,上海
9,GPE,中國大陸
9274,GPE,中華
1924,GPE,臺北市
26,GPE,美國
5065,GPE,澳洲
4775,GPE,台灣省
2440,GPE,澎湖
5457,GPE,桃園縣政府
7031,GPE,廣州
337,GPE,西藏
5310,GPE,馬來西亞
5284,GPE,泰國
5219,GPE,台澎金馬
299,GPE,屏東
4014,GPE,大直
5215,GPE,台東
5126,GPE,中華台北
1664,GPE,越南
8382,GPE,美方
233,GPE,北京
8401,GPE,台南
5104,GPE,台澎
205,GPE,臺灣
176,GPE,德華
2936,GPE,埃及
5085,GPE,中國台北
8393,GPE,加拿大
1370,GPE,亞洲
886,LAW,公益勸募條例
6555,LAW,合作金庫條例
1068,LAW,健保法
1145,LAW,憲法
4942,LAW,勞基法
8306,LAW,臺灣金控條例
2914,LAW,所得稅法
5426,LAW,勞動派遣保障法草案
6143,LAW,證交法
7711,LAW,國安基金條例
1486,LAW,個資法
7630,LAW,銀行法
7251,LAW,毒品條例
7201,LAW,權利國際公約
2324,LOC,東京灣
2328,LOC,臺中港
1562,LOC,赤道
4720,LOC,歐洲
6509,LOC,台灣島
4806,LOC,板新地區
6354,LOC,北歐
9331,LOC,台海
4931,LOC,新竹地區
3891,LOC,亞太
449,LOC,亞洲
8413,LOC,南勢溪
2882,LOC,淮南
3043,LOC,台北
3299,LOC,兩岸
76,LOC,華南
4018,LOC,圓山
2916,LOC,迦南地
9291,LOC,歐美
6912,LOC,中東
3662,LOC,東南亞
5715,NORP,亞銀
5666,NORP,韓國
607,NORP,香港
8464,NORP,美國人
3706,NORP,臺灣人
406,NORP,台灣
465,NORP,美國
169,NORP,中國
2892,NORP,基督徒
288,NORP,阿里
340,NORP,中國大陸
5368,NORP,日股
3624,NORP,台灣人
3563,NORP,英國
674,NORP,北韓
3887,NORP,陸客
2505,NORP,日本
9223,NORP,中資
2589,NORP,日本人
1334,NORP,臺灣
2906,NORP,陸資
6078,NORP,華人
5291,NORP,港股
4757,NORP,大陸
2952,NORP,以色列人
4741,NORP,歐洲
4675,ORG,TPP 
3427,ORG,天弘基金
3503,ORG,民航局
4636,ORG,臺灣土地銀行
3377,ORG,國稅局
3311,ORG,立法局
4631,ORG,臺灣金融控股公司
4702,ORG,勞動部
3201,ORG,兆豐金
4617,ORG,台銀金控
3530,ORG,壽險公會
3461,ORG,餘額寶
4713,ORG,中共
4107,ORG,國防部
4608,ORG,合庫
4119,ORG,國產署
4148,ORG,亞太經合會議 APEC 
4020,ORG,國外基金會
4231,ORG,立院
3986,ORG,國民黨
3969,ORG,台銀
4234,ORG,中央政府
3851,ORG,臺灣中小企銀
3795,ORG,第一金控公司
3780,ORG,合作金庫金控公司
3768,ORG,華南金控公司
3767,ORG,兆豐金控公司
3758,ORG,高鐵公司
3755,ORG,彰化商銀
4313,ORG,台灣票據交易所
4314,ORG,證交所
4342,ORG,聯合信用卡中心
4358,ORG,財金資訊中心
3750,ORG,澄清大
3738,ORG,兆豐金控
