,Class,NER
0,EVENT,美國經濟復甦
18221,EVENT,中國抗戰
33958,EVENT,凡那比颱風
27648,EVENT,中美貿易大戰
63846,EVENT,921
63862,EVENT,東貝案
65955,EVENT,院會
65956,EVENT,拉法葉案
68026,EVENT,228 事件
68032,EVENT,牡丹社事件
68068,EVENT,辛亥革命
126,EVENT,台灣颱風
125,EVENT,亞銀年會
124,EVENT,奧運
123,EVENT, 9 大公股銀行會議
120,EVENT,第二次世界大戰
119,EVENT, BOT 案
118,EVENT,第十四案
10048,EVENT,文革
10052,EVENT,元大個資案
10057,EVENT,遼寧團事件
10058,EVENT, ATM 被盜案
10060,EVENT,SARS 
3730,EVENT,臺南地震
4472,EVENT, 326 爆料
4470,EVENT,鐽震案
37179,EVENT,中美戰爭
75024,EVENT,全世界資產泡沫
61787,EVENT,十年改
8099,EVENT,世大運
1192,EVENT,康芮颱風
5241,EVENT,六四
26219,EVENT,台大校務會議
6073,EVENT,520
6079,EVENT, 520
42306,EVENT, Google 資安危機
45926,EVENT,第 530
22057,EVENT,二二八
22033,EVENT,永豐金弊案
2397,EVENT,911
2398,EVENT, 911
50000,EVENT,九二共
3033,EVENT,五二○
7146,EVENT,第三百三十九
53777,EVENT,萬一颱風
3037,EVENT,台南地震
3045,EVENT,319
55773,EVENT,卡債風暴
19447,EVENT,慶富案
19445,EVENT,中共第十九次全國代表大會
19423,EVENT,慶富弊案
35543,EVENT,台海演習
35523,EVENT,台灣演習
8096,EVENT,亞運
8098,EVENT,東亞青年運動會
59763,EVENT,五一長假
75034,EVENT,信功事件
37175,EVENT,普悠瑪事件
2,EVENT,亞洲盃
1,EVENT,馬習會
35561,GPE,瑞士
19,GPE,兩岸
20,GPE,香港
21,GPE,漢城
35581,GPE,屏東縣
22,GPE,英國
23,GPE,日本
1859,GPE,中華
1854,GPE,古巴
24,GPE,亞太
25,GPE,德華
26,GPE,福建
27,GPE,美國
59950,GPE,西班牙
1847,GPE,新北
8183,GPE,水吉
8184,GPE,印尼
1852,GPE,中華人民共和國
19539,GPE,中國香港
57974,GPE,紐澤西州
57957,GPE,封州
18,GPE,淮南
55942,GPE,武漢
55959,GPE,雲霄
19608,GPE,紐約
19577,GPE,紐西蘭
19572,GPE,義大利
19561,GPE,香港籍
8190,GPE,桃園觀音區
19557,GPE,民國
57762,GPE, Seven 
57763,GPE,寧夏
57814,GPE,紐約皇后區
57916,GPE,基隆市
57924,GPE,紐約封州
57928,GPE,加州
57948,GPE,華盛頓州
19551,GPE,中華臺北
8191,GPE,觀音區
8218,GPE,台中
35587,GPE,恆春
14581,GPE,中華民國台灣
14578,GPE,金門縣
27792,GPE,成都
66175,GPE,郝柏村
32575,GPE,伊利諾州
32569,GPE,新竹
32567,GPE,海地
27776,GPE,台獨共和國
32566,GPE,杭州
32560,GPE,太子港
32559,GPE,馬尼拉
32558,GPE,剛果
32520,GPE,美國芝加哥
39028,GPE,尼加拉瓜
68248,GPE,衛福
68264,GPE,華派
32564,GPE,蘇州
27774,GPE,梵諦岡
34,GPE,大陸
33,GPE,台灣
28,GPE,中國大陸
62020,GPE,挪威
62051,GPE,洛杉磯
29,GPE,上海
1846,GPE,希臘
3,GPE,北捷日
18359,GPE,台獨
18337,GPE,漳州
18309,GPE,威斯康辛州
30,GPE,台北市
23524,GPE,福州
23570,GPE,廈門
31,GPE,京東
15695,GPE,中華民
32,GPE,中國
27758,GPE,巴黎
27772,GPE,梵蒂岡
8208,GPE,屏東高樹鄉
35595,GPE,墨西哥
26330,GPE,斯里蘭卡
3127,GPE,基亞
22160,GPE,伊朗
22097,GPE,清泉崗
7,GPE,倫敦
46087,GPE,德州
46088,GPE,港澳
8,GPE,屏東
9,GPE,中華民國
10,GPE,新加坡
11,GPE,盧森堡
2419,GPE,老美
2439,GPE,南京
2468,GPE,以色列
2489,GPE,土耳其
2499,GPE,敘利亞
40772,GPE,中美
40764,GPE,中正區
40763,GPE,臺東
22172,GPE,威斯康辛
40762,GPE,丹麥
22194,GPE,南非
22206,GPE,東德
22215,GPE,西德
4,GPE,臺灣
5,GPE,北京
6124,GPE,新南
6187,GPE,臺獨
6193,GPE,宜蘭
6,GPE,吳壽山
42488,GPE,臺中
42497,GPE,北京城
42501,GPE,敦克爾特
6196,GPE,日方
44288,GPE,湖北
44291,GPE,臺南海
44292,GPE,仁川
40806,GPE,阿布達比
40797,GPE,大同
40773,GPE,澳大利亞
22196,GPE,媚日
68273,GPE,臺美
40760,GPE,臺南市
48034,GPE,非洲
35663,GPE,深澳
13,GPE,中方
14,GPE,台北
7223,GPE,苗栗
7224,GPE,南投
7238,GPE,印度
7245,GPE,開曼群島
7252,GPE,薩摩亞
40746,GPE,永功里
40744,GPE,阿根廷
15,GPE,德國
53969,GPE,北宜
40738,GPE,可倫坡
16,GPE,韓國
17,GPE,昆山
3101,GPE,俄羅斯
3123,GPE,台南縣
35710,GPE,薩爾瓦多
40755,GPE,紐澳
35713,GPE,觀塘
35726,GPE,多明尼加
20894,GPE,左營
12,GPE,西藏
50210,GPE,吉里巴斯
50213,GPE,南投縣
40751,GPE,福華
20890,GPE,柬埔寨
20870,GPE,東瀛
20867,GPE,宜蘭縣
20860,GPE,宜蘭縣長
20859,GPE,慶富
40749,GPE,臺中市
52019,GPE,中式
