,jieba_results
0, 李議員喬如 主席 每位 議員 都 有 自己 的 質詢 時間 議員 不是 只有 這  分鐘 可以 處理 好 平常 議員 很多 的 工作 各局 處 都 幫 我們 服務 得 很 好 總質詢 是 有關 重大 的 政策性 才 會 提出 來 和 市長 及 市政府 團隊 分享 議員 的 建議 從 一 開始 郭議員建盟 剛才 的 質詢 今天 是 第一天 剛才 我 從 不同 政黨 議員質詢 當中 發現 我 認為 議員質詢 是 理所當然 可是 我 發現 剛才 的 對口 對 市政府 不 公平 不要 說 時間 在 議員 的 掌控 之下 不讓 市政府 回答 我 覺得 這樣 沒有 道理 為什麼 我 也 很 關心 氣爆 我 也 很 關心 很多 議題 但是 我們 的 時間 有限 在 不能 質詢 的 時候 可以 看出 很多 理性 問政 的 議員 可以 讓 我們 議員 了解 更 多 市政府 在 做 的 工作 這樣 我們 就 不必 在 這裡 重 複 提出 同樣 的 問題  剛才 我 發現 這方面 質詢 的 對口 比較 不 公平 因為 我 認為 可以 讓 市民 聽 清楚 應該 多一點 時間 給 市政府 團隊 說明  所以 就 剛才 氣爆 的 議案 我 邀請 許副 市長 就 災情 所有 的 資訊 說明 清楚 讓 高雄 市民 更 了解 你們 的 進度  主席 蔡副議長昌達 許副 市長 請答 覆  許副市長立明 善款 的 部分 絕對 公開 透明 目前 總共  案 總金額  億多 這  案 在 網路 都 有 公布 當然 有些 細目 可能 會 牽涉 個人 隱私權 所以 沒有 公布 得 那麼 細 但是 所有 的 細目 在  月底 之前 都 依法 送給 衛福部 了 所有 的 明細 都 在 那裡 這個 沒有 不 公開 的 問題 過程 中 包含 監察院 審計處 都 不斷 的 來 查帳 這件 事情 絕對 不 可能 有 任何 隱匿 或 不 公開 的 部分  同時 善款 委員會 裡面  位 委員 只有  位是 市府 的 甚至 目前 有  位是 災區 的 代表 每個 人 都 很 關心 他 自己 這筆 善款運用 的 狀況 所以 在 決策 過程 是 民主 的 然後 善款 的 公布 是 公開 的 這個 部分 可以 接受 大家 的 監督  剛才 提到 有 一些 順序 數據 跳著講 因為 這些 案子 幾乎 都 在 進行 中 所以 你 拿  月份  月份  月份 甚至 我們 現在 已經 更新 到  月  日 最新 的 數據 你 在 執行 中 的 案子 本來 數字 就 會 變動 會 有 不 一樣 有些 執行 會 有 進度 有些 執行 完 之後 會 有 賸 餘款 必須 繳 回到 善款 裡面 這個 數字 隨著 時間 變動 是 正常 的 沒有 什麼 不 一致 的 地方 
1, 李議員喬如 市長 請 說明  主席 蔡副議長昌達 市長 請答 覆  陳市長菊 謝謝 李議員喬如 和 簡議員煥宗 為 旗津 鄉親 提出 這 兩個 很 重要 的 議題  第一 個 生命紀念館 或 勞動女性紀念公園 都 是 我們 非常重視 的 兩位 議員 都 知道 過去 勞動女性紀念公園 是 墳墓 地 我們 做 了 很大 的 改變 整個 生命紀念館 旁邊 的 空間 目前 還在 整理 中 我會 請 養工處 民政局 跨局 處 合作 讓 整個 景觀 及 綠化 部分 能夠 更 協調 更 柔和 讓 居民 到 生命紀念館 時 知道 自己 的 父母 長輩 及 祖先 放置 在 那裡  昨天 我 在 一個 麵 攤 遇到 一位 居民 剛好 他 把 父母 的 骨灰 罈 送到 生命紀念館 他 說 看到 生命紀念館 時 眼眶 就 泛紅 覺得 那個 地方 讓 他 非常 安心 環境 也 讓 他 覺得 非常 好  它 周邊 的 環境 道路 能 不能 在 整個 綠 美化 部分 做 更好 的 協調 我 同意 兩位 議員 的 意見 我會 要求 民政局 包括 養工處 旗津區公所 這個 部分 立即 應該 要 做 更 大 空間 的 改善  屆時 讓 人家 一 看到 生命紀念館 知道 祖先 住 在 那裡 心裡 就 倍感 溫馨 感覺 也 很 好 對 祖先 又 有 無限 的 感念  另外 勞動女性紀念公園 周邊 環境綠美化 的 部分 應該 在 整個 四周 做 最好 的 協調 空間 我們 同意 這個 部分 我 請 養工處 以 他們 的 專業 進行 大力協助 希望 很快 就 能夠 有 很 好 的 改善  尤其 是 生命紀念館 四周 環境 還 正在 處理 中 將來 讓 它 能夠 更 協調 也 讓 所有人 到 那個 地方 有個 不同 的 感覺 這個 我們 會 做  再 來 有關 旗津醫院 夜間 急診 部分 我們 對 於 旗津 父老 包括 每 一位 高雄 市民 的 生命 對 我們 來講 都 是 無比 的 珍貴 因為 任何人 的 生命 對 我們 來講 都 是 絕對 不可 取代 這個 部分 我會 要求 衛生局 我 還會 和 高醫 商量  如果 市民 朋友 覺得 沒有 夜間 急診 他們 沒有 安心 的 感覺 是不是 在 這個 部分 有個 更好 的 方式 能 讓 旗津
2, 醫院 更 完善  當然 沒 狀況 是 最好 萬一 需要 急診 的 時候 我們 有 相關 的 醫療 資源 來 進行 同樣 是 夜間 急診 的 功能 這個 部分 我們 會 持續 和 衛生局 高醫 溝通  兩位 議員 為 旗津 市民 請命 我們 都 接受 也 願意 在 這個 部分 繼續 和 他們 溝通 協調 多謝 兩位 議員  李議員喬如 謝謝 市長  最後  分鐘 身為 議員 的 我 還有 很多 教育 的 問題 要問 包括 食安 問題 還有 一些 空氣 的 問題 這個 部分 我們 平常 就 已經 和 局處 首長 做過 對口 溝通 今天 沒有 在 這裡 質詢 的 部分 未來 會 在 其他 非 總質詢 的 時間 再來 和 各局 處 探討  未來 在 鼓山 鹽埕 旗津 的 學術 教育部 分 也 希望 教育局長 在 我們 提出 來 的 建議 裡面 能夠 有效率 的 完成  簡 議員 你 還有 沒有 要  的 部分 沒有  今天 李喬如 的 總質詢 就 到 這裡 結束 謝謝 大家 你們 都 辛苦 了 祝 大家 都 健康 快樂 還有 媽媽 節 快樂 所有 高雄 市民 媽媽 節都 快樂  主席 蔡副議長昌達 謝謝 李議員喬如 和 簡議員煥宗  議程 到此結束 散會 
3, 李議員喬如 這 樣子 很 簡單 我 聽得懂 我 認為 議員質詢 不是 在 考 市長 市長 是 領航者 是 決策者 你 的 身邊 有 這麼 多局 處長 幫 你 推動 高雄 這艘 大船 的 時候 市長 只要 裁定 決策 然後 議員 不是 出題 考 市長 市長 怎麼 可能 知道 這些 瑣碎 的 細節 這 樣子 要 局長 做 什麼 要 專門 委員 做 什麼 要 科長 做 什麼 所以 我 質詢 都 不用 考試 的 方式 沒有 意義 為什麼 這個 時代 不一樣 了 我 認為 市政府 在 這個 部分 不 可以 這樣 因為 政府 不是 萬能 的 如果 議員 可以 找出 缺點 最好 這是 高雄 市民 的 福氣 也 是 市政府 的 福氣 但是 我會 用 不 一樣 的 方式 告訴 市長 和 各局 處 這一點 不好 我們 應該 怎麼 做 這 樣子 來 說服 市長 讓 市長 在 決策 當中 和 各局 處 開會 說 李喬如議員 的 建議 很 好 就 像 以前 陳田錨 議長 我 在 質詢 污水 防治 問題 的 時候 前 陳田錨 議長 就 很 認真 的 說 李喬如議員 這 樣子 才 對 不是 用 罵 的 不是 用考 的 現在 這個 時代 好像 市民 也 不 喜歡 這個 方式  本席 要 提出 一個 新 的 東西 來 和 市長 分享 這個 政策 讓 各局 處 了解 我們 現在 所 面對 的 問題 我 知道 議員 都 很 關心 高雄 市民 生活品質 的 改善 我們 要 憂慮 的 很多 包括 食安 和 空氣污染 很多 議員 都 很 關心 高捷 月票 學生 要求 降價 大家 都 很 關心  所以 本席 認為 總質詢 要 針對 高雄市 對 台灣 對 全球 會 有 很大 震撼力 有 重大 影響 的 而且 是 經過 日本 道路 協會 和 中央大學 一些 學者 專家 提供 的 建言 讓 本席 在 這邊 很 務實 很 簡單 很 清楚 的 向 市長 說明 這個 政策 我 認為 幸福 的 高雄 市長 這 九年 來 做 了 很多 建設 包括 綠化 得獎 還有 工務 得 建築 獎 都 有  市長 領導 的 團隊 在 整個 民調 評比 是 優 的 這個 部分 毋庸置疑 否則 市長 在 高雄市 的 民調 不會 這麼 高 雖然 民調 這麼 高 市長 還是 很 謙卑 我們 要 再 精進 吸收 新 知識 新 學問  高雄市 是 經過 民主自由 革命 成熟 的 城市 我們 努力 我 記得 市長 是 人權 鬥士 當然 這方面 的 貢獻 市長 沒有 缺席 而且 為了 這個 還 付出 青春 和 相當 大 的 代價 當 這個 城市 成熟 的 時候 人民 享受 這個 民主 滋潤 的 城市 之後 我們 希望 給 人民 享受 生活品質 革命 後 的 優越 和 安全  所以 今天 我 和 新科 議員簡煥宗 要 為 鼓山 鹽埕 旗津 高雄市 未來 對 人民 有利 的 公共 建設 做 革命 所以 我 在 這裡 要 和 市長 探討 這些 資料 是 我 從 日本 道路 協會 和 中央大學 的 教授 們 所 提出 來 的 很 清楚 的 他們 做 了 一個 擔憂 和 表現 聯合國 評估 現在 的 人口 已經 超過  億 了 其中  都 集中 在 城市 所以 高雄市 未來 要 未雨綢繆  我 掐指一算 市長 未來 有 可能 到 中央 當揆 首 所以 我 認為 市長 在 這個 時刻 更 應該 要 以 高雄市 做 範例 來 實施 來 測試 這樣 的 觀念 對 整個 台灣 整個 高雄市 的 熱島 效應 有沒有 幫助 這份 資料 顯示 到 了  年 全球 人口 增加 到  億 的 時候 有  的 人口 會 集中 在 城市 中心 城市 中心 就是 這個 國家 的 政治 經濟 中心 所以 未來 如果 發生 災難 這個 中心點 的 災難 會 更 大 所以 很多 大都市 的 首長 都 在 研究 我要 怎麼 讓 我 這個 城市 的 熱島 效應 不要 這麼 嚴重  所以  在  年 極端 氣候 災難 的 未來 評估 它 說 全球 會 有 破紀錄 的 災難 豪雨 乾旱 熱浪 將會 不斷 出現 而且 會 不斷 挑戰 數字 大家 都 很 擔心 所以 每位 首長 包括 市長 也 做 了 中都濕地 和 很多 綠化 就 像 學者 在講 的 他 的 規劃 說 要 增加 綠地 和 生態 空間 然後 希望 在 這塊 土地 下面 上面 都 能 設計 滯洪池 來 排洪 來 處理 污水 的 系統 和 雨水 回收 再 利用 這樣 能 讓 我們 的 城市 符合 綠建築 讓 生態 的 城市 健康 的 城市 低碳 的 城市 在 自己 的 城市 裡 能夠 看得見  所以 他們 有 提出 低度 衝擊 開發 和 水 敏感 城市 設計 因為 今天 是 總質詢 我們 在 這裡 也 不是 在讀 研究所 的 考驗 我會 把 重點 的 部分 和 高雄市 有關 係 的 而且 可以 解決 的 我待會 一一 的 和 市長 一起 分享 讓 市長 去 考慮 我們 是不是 應該 有所 改變 是不是 應該 做 某些 部分 的 革命 
4," 現在 學者 也 創造 一個 叫 海綿 城市 連柯  也 在 談 海綿 城市 當中 第一 個 要 具備 海綿 道路  何謂 海綿 城市 海綿 道路 其實 很 簡單 他 說 的 海綿 不是 真的 海綿 高雄 市民 你 要 聽 他 的 意思 是 說 這個 學理 這個 工法 是 水會 往 下 吸收 回到 土地 的 大自然 就 像 水 和 空氣 在 鋪面 上 可以 自由 的 流動 好像 我們 皮膚 的 毛細孔 打開 之後  這樣 的 工法 其實 在 行政院 工程 會 規範  章程 裡面 有 提到 的 它 叫 低密度 透水 再生 道路 工法 它 是 可以 讓 雨水 還原 土地 呼吸 這種 理念 陳市長 我 大概 知道 在 高雄市 很多 地方 現在 都 在 做 綠地 公園 濕地公園 中 都 也 很 有名 包括 農 農 市長 犧牲 也 很大 我 想 市長 很 早就 了解 本席 要說 的 這部分 市長 你 看 農 這部分 幾千 億 的 你 不 賣 用來 種花 植草 為什麼 就是 符合 本席 要說 的 精神  中都濕地 很多 的 地方 當然 高雄縣市合併 大 高雄 的 很多 地方 非 在 本席 的 選區 這部分 市政府 在 很多 的 資訊 裡已 告訴 高雄 市民  高雄 應該 具備 道路 施工 技術 提升 的 革命 準備 讓 高雄市 的 馬路 會 呼吸 讓 城市 的 熱島 效應 可以 降低 結合 市長 現有 的 建設 來 改變 自己 的 城市  學者 專家 在 本席 摘錄 的 論述 裡 都 有 提到 這裡 有 的 部分 陳市長 已 未雨綢繆 在 推動 了 當然 市長 有 很強 的 工務 團隊 能 把 高雄市 未雨綢繆 的 部分 做 處理  但 很 可惜 現在 高雄 市民 我 走 到 哪 都 會 被 唸 包括  月  日 我 看到 市政府 的 市政會議 市長 主持 的 會議 裡 也 要求 工務 團隊 要 處理 研考會 也 針對 高雄市 的 道路 提出 不 滿意 因為 研考會 也 接受 到 市民 對 道路 的 抱怨 這種 東西 就 一直 抱怨 到 現在 也 十幾年 了  我 認為 我們 不要 再 讓 馬路 被 抱怨 下去 所以 我 很 認真 我 看到  月  日 市長 有 針對 這 東西 關心 我 馬上 去 調 一些 資料 去 找 一些 學術 上 的 資源 甚至 去 請教 一些 業者 他們 懂得 相關 這部分 的  我 這 影片 要 提供 給 市長 看 其實 坑坑洞洞 這都 補過 了 這都 坑坑洞洞 很 頭痛 我們 真的 沒 辦法 嗎 不是 的  高雄市 這麼 多 道路 又 讓 我們 花費 很多 成本 養工處 一 聽到 都 會 趕緊 去 刨 一 刨 鋪 一鋪 沒多久 又 變成 這樣 為什麼 這部分 我 可能 要 和 市長 一 起來 做個 技術 上 的 分享 改變 道路 革命 之後 整個 未來 的 城市 就 不會 有 這種 現象  我 大概 向 市長 說明 它 的 問題 為何 會 這樣 是 如何 造成 的 我 大概 讓 市長 知道 高雄市 已經 有 維護 有 開發 的 它 的 道路 面積 總共 有  ,  萬  ,  平方公尺 相當 我們 的 土地 面積  ,  公頃 市長 我 唸 這 數字 是 要 讓 市長 知道 我們 有  ,  公頃 道路 面積 我們 現在 道路 面積 都 採用 不透水 瀝青 道路 施工 材料 目前 都 這樣  本席 有 拿 一些 樣本 待會 我 請 簡 議員 拿到 市長 前面 讓 他 看得見 市長 很 難得 看到 這 東西 我 叫 人 去 鑽 的 不是 鑽 你們 的 我 沒 違法 那 早就 鑽 起來 的 我 沒 破壞 公物 在 此 聲明  這 不透水 瀝青 道路 的 施工 材料 就是 右邊 的 你 看 這都 沒縫 不透水 的 我先 說明 一下 不透水 為什麼 我們 的 道路 都 會常 龜裂 常 凹洞 為何 這麼 不 耐用 甚至 下雨 路會 打滑 車子 行駛 就會 噴到 路上行人 然後 它 還有 噪音 一般 人 都 認為 車子 在 跑 本來 就 有 噪音 引擎 就 有 噪音 錯 了  它 不是 引擎 的 噪音 很多 人 都 不 知道 以為 噪音 是 輪胎 磨擦 路面 造成 的  錯 日本 學術研究 結果 我們 的 車在 跑 會 產生 噪音 是因為 輪胎 壓縮空氣 的 聲音 造成 這 噪音  為何 如此 市長 你 看不透 水氣 它 都 沒縫 所以 它 磨擦 空氣 當中 沒 地方 跑 聲音 就 從 旁邊 反射 出來 所以 很 吵 馬路 都 有 噪音 雨水 無法 保留 都 流到 大水溝 裡 排掉 很 可惜 它 這 不透水 道路 施工 法 就 容易 塌陷 為什麼 因為 它 的 材料 是 什麼 組成 的 上面 瀝青 下面 是 砂子 和 碎石子 砂子 含量  很 高 碎石子  另外 石粉  瀝青   為什麼 我會 說 這個 因為 它 這 東西 下去 密度 很小 密度 小 的 當中 南 台灣 的 高溫 照射 下去 會 龜裂 龜裂 就 有 縫 水 滲進去 整個 土 變軟 因為 砂子 很軟 軟 了 之後 車子 碾 過去 就 塌陷 了 這就 造成 窟窿 的 原因 它 還會 反射 路面 的 高溫 照射 時會 反射 對 行車 駕駛 非常 危險 這 不透水 道路 長期以來 讓 我們 的 道路 無法 呼吸 它 沒 水氣 往上升 所以 越來越 熱 熱到 有時 高速公路 在 行車 時 都 有 蒸氣 在 散發 柏油 軟 了 產生 我們 居住 環境 的 日漸 高溫 造成 都市 熱島 效應 即 溫室效應  現在 很多 首長 都 談要 如何 降低 溫室效應 當我調 完 這 資料 後 我 認為 高雄市 來 翻轉 道路 的 施工 技術 讓 我們 的 道路 會 呼吸 讓 它 成為 海綿 道路 海綿 城市 讓 市民 走路 過程 當中 較 健康 讓 整個 環境 土地 不會 受到 影響 還能 永續 的 保存 它 整個 水氣 使 路面 有 降溫 的 功能  這是 不 透水性 瀝青 的 成分 和 狀況  市長 請 看 這圖 先 介紹 這個 這叫 透水性 的 它 的 旁邊 都 有 縫 因為 它 的 再生 利用 的 碎石 跟 不透水 的 不 一樣 所以 這個 東西 施工 出來 的 它 是 有 洞 會 呼吸 的  下一頁 市長 你 看 這個 路面 我要 展示 什麼 這 就是 下雨 之後 這是 還未 施工 之前 的 這 下雨 之後 路面 濕濕的 摩托車 若 騎快 一點 所以 古時候 的 人 說 天雨路 滑 小心 駕駛 就是說 這個  這有 多少 人會 滑倒 你 不要 看 這 稍微 濕濕的 它 的 水 就 濺 出來 了 所以 這 就是 不透水 的 道路 下雨 後 的 狀況  接下來 這是 中央大學 一些 學者 研究 資料 裡面 的 一些 圖面 我調 了 一些 實務性 實驗 的 東西  這個 貨車 在 跑 的 就是 一 般的 瀝青 混凝土 不透水 的 所以 車在 上面 行駛 就 會 噴水  這個 就是 他們 做 階段性 實驗 一段 有 做 一段 沒有 做 這個 是 透水性 瀝青 混凝土 鋪面 就是 我 剛剛 提出 來 的 透水性 瀝青 底層 所 製 壓 的 不 一 樣 的 技術 讓 它 的 水會 從 馬路 滲透 下去 回到 它 原來 的 土地 符合 我們 健康 綠能 的 城市  所以 他們 的 業者 也 有 把 這個 道路 分隔 兩邊 一邊 做 透水性 一邊 做 無 透水性 下去 比較 就 沒有 改變 它 改變 另外 一條 這樣 才 有 辦法 比較 它 的 差別  我 現在 指 的 就是 一般 瀝青  的 鋪面 右邊 有 白色 的 兩部 車在 跑 的 就是 透水性 瀝青 混凝土 鋪面  這種 工法 在 中央 公共工程委員會 是 有 法令 規定 的 大概 實務性 的 操作 是 這樣  更進 一步 的 市長 不好意思 我 不是 要 跟 你 上課 我 覺得 是 要 跟 市長 分享 之後 工務部門 在講 的 時候 市長 就 瞭若 指掌  我 把 這個 資料 大概 講 一下 在 一般 道路 的 狀況 成分 我 剛剛 有 講過 了 瀝青  砂石  碎石子  石粉   我 現在 要 說明 的 純 透水性 的 道路 學者 稱 它 做 海綿 城市道路 的 這個 部分 它 是 低密度 再生 透水 混凝土 它 裡面 一樣 瀝青  砂石 降低  但是 這個 碎石子 跟 一般 道路 不一樣 有  石粉   什麼 叫做 透水性 的 鋪面 很 簡單 我 應該 這 樣子 講 透水性 的 鋪面 什麼 叫做 透水性 的 鋪面 它 就是 透水性 良好 它 的 級 配 孔隙 比較 高 的 材料 應用 在 道路 的 面層 跟 基底層 讓 雨水 通過 以 人工 鋪築 多孔性 的 鋪面 直接 會 滲入 路基 的 土壤 而 具有 讓 水 還原 地下 的 性能 所以 它 也 是 一種 多 孔隙 的 鋪面 施工 法 它 的 級 配料 是 有別於 不透水 的  高雄市 現在 有  ,  公頃 統統 用 不透水 那好 可怕 等於 旗津 十倍 的 土地 面積  我們 目前 管理 的 土地 維護 佔 所有 的 道路 面積 是 旗津 土地 面積 的 十倍  這樣 會 有 影響 嗎 如果 我們 將它 改良 好 的 這個 對 高雄市 絕對 會 有 正面 的 影響 對 熱島 效應 會 降低 非常 大 的 比例  這 大概 也 是 實驗性 的 這一條 路 這邊 是 一般 密級 配 的 下雨 後 濕濕的 會滑 太陽 照射 下去 會 反光 這是 透水性 的 水會 馬上 流下去 會 比較 乾  我 再 跟 市長 報告 一下 我 右邊 的 圖 大概 是 很 粗略 的 讓 市長 看見 它 外表 的 粗 胚 這是 再生 透水性 的 混凝土 的 砂石 混在 一起 這都 有 縫隙 這 就是 透水性  一般 現在 的 道路 是 沒有 這 樣子 的 它 這 沙子 軟軟 的 若 水流 下去 地基 就 陷 下去 了 所以 我們 的 道路 就 坑坑洞洞 是 我們 市民 覺得 最 不 滿意 的 部分  我 大概 也 把 這些 透水性 的 效益 學者 們 的 見解 也 列 在 這裡 它 對 減少 一些 地表 的 逕 流 降低 河川 的 洪患 或者 有助 河川 生態 的 永續 經營 減輕 排水管 的 負擔 因為 水會 回到 土地 下面 所以 我們 的 排水管 負擔 就 較 少 減少 路面 排水 的 設施 然後 地下水 涵養 有助 我們 的 水資源 永續 經營  現在 中央 跟 地方 都 很 重視 水資源 要 如何 保存 永續 經營 這樣 的 工法 能夠 達到 這個 目的 它 也 可以 降低 熱島 效應  剛剛 我 也講 很多 減少 能源 的 耗損 還有 增大 抗滑性 不會 滑 可 改善 市民 步行 的 條件 跟 駕駛 人 在 行車 的 安全 上 的 安全感  最 重要 的 是 我們 南 台灣 太陽 很大 大到 太陽 曬 到 瀝青 的 反射 會 目眩 所以 在 行駛 的 安全 上 這種 的 工法 是 有 幫助 的  它 是 屬於 多 孔隙 道路 的 施工 法 可以 有 吸音 的 效果 因為 這種 工法 的 馬路 當 車輛 跟 它 接觸 的 時候 它 的 噪音 會往 孔隙 裡面 往 地下 跑 所以 它 的 噪音 不會 往 上 它 就 有 吸音 的 功能  這 就是 本席 要 推薦 跟 市長 分享 高雄市 未來 道 路上 的 革命 會給 市民 帶來 多少 的 福氣 我們 也 希望 馬路 會 呼吸  現在 市長 可能 內心 在 想 我 煩惱 了 喬如 說 這個 不 知道 要花 多少錢 市長 你 不用 擔心 這 不會 很 貴 這差 不了 多少 會後 市長 可以 私下 去 打聽  我 聽說 你 在 市政會議 研考會 在 批判 一般 道路狀況 的 時候 好像 吳宏謀副市長 說 我們 來 效法 日本 的 特殊 技術  我 想 這些 陳述 裡面 有 日本 道路 協會 提供 的 一些 技術 不 知道 我 講完 了 是不是 跟 吳宏謀副市長 有 相同 的 見解  就 這個 部分 希望 市長 在 本席 報告 之後 我們 能夠 為 高雄市 為 鼓山 鹽埕 旗津 很多 目前 在 道 路上 非常 不 耐用 或者 因為 坑洞 容易 造成 市民 行車 的 不 安全 市民 一直 覺得 對 這個 地方 不 幸福  不然 市長 九年 的 執政 高雄 市民 的 幸福感 在 成長 但是 獨獨 就是 道路 的 部分 很 麻煩 所以 我們 認為 有 機會 我們 要 把 道路 的 施工 法 改革 我 想 未來 整個 高雄市 大自然 的 環境 水資源 的 維護 裡面 還有 人民 通行 的 部分 就 非常 的 安全 跟 合理性  這個 部分 請 市長 給我 簡單 的 回應 希望 我 的 建議 能夠 得到 市長 的 認同 能夠 責成 工務部門 開始 來 研究 這個 部分 是不是 可以 開始 來 處理  主席 蔡副議長昌達 市長 請答 覆 "
5, 但 很 可惜 現在 高雄 市民 我 走 到 哪 都 會 被 唸 包括  月  日 我 看到 市政府 的 市政會議 市長 主持 的 會議 裡 也 要求 工務 團隊 要 處理 研考會 也 針對 高雄市 的 道路 提出 不 滿意 因為 研考會 也 接受 到 市民 對 道路 的 抱怨 這種 東西 就 一直 抱怨 到 現在 也 十幾年 了  我 認為 我們 不要 再 讓 馬路 被 抱怨 下去 所以 我 很 認真 我 看到  月  日 市長 有 針對 這 東西 關心 我 馬上 去 調 一些 資料 去 找 一些 學術 上 的 資源 甚至 去 請教 一些 業者 他們 懂得 相關 這部分 的  我 這 影片 要 提供 給 市長 看 其實 坑坑洞洞 這都 補過 了 這都 坑坑洞洞 很 頭痛 我們 真的 沒 辦法 嗎 不是 的  高雄市 這麼 多 道路 又 讓 我們 花費 很多 成本 養工處 一 聽到 都 會 趕緊 去 刨 一 刨 鋪 一鋪 沒多久 又 變成 這樣 為什麼 這部分 我 可能 要 和 市長 一 起來 做個 技術 上 的 分享 改變 道路 革命 之後 整個 未來 的 城市 就 不會 有 這種 現象  我 大概 向 市長 說明 它 的 問題 為何 會 這樣 是 如何 造成 的 我 大概 讓 市長 知道 高雄市 已經 有 維護 有 開發 的 它 的 道路 面積 總共 有 
6, 陳市長菊 感謝 李 議員 剛才 有留 一些 時間 給許 副 市長 針對 氣爆 期間 善款 的 處理 及 透明化 問題 讓 高雄市政府 有 表達 的 機會 我們 非常 尊重 議會 的 監督 但是 我 跟 我 的 團隊 不 希望 被 扭曲  每位 議員 的 監督 質詢 我們 應該 謙虛 以 對 但是 能 讓 我們 有 說明 的 機會  市長 只管 大 的 政策 至於 數據 不論 其他 的 地方 和 其他 的 國家 國會議員 所有 的 質詢 都 要 做 政策 上 的 答覆 但 你 要 先 讓 我 知道 你 要問 什麼 如果 你 要問 數據 這部分 我 不夠 了解 我會 請 相關 局處 及 幕僚 來答 覆 我 認為 這部分 並不 表示 我 對 議員 的 不 尊重 確實 有些 數據 我 不夠 清楚 
7, 非常 謝謝 李 議員 關心 如何 推動 高雄市 成為 一座 海綿 城市 面對 未來 氣候 的 變遷 減災 及 防洪 各 方面 我們 都 非常重視 及 努力 謝謝 李 議員 很多 的 專業 意見  第一 個 高雄市 未來 綠地面積 的 增加 就是 希望 讓 城市 免於 迅速 加快 暖化 程度  第二個 剛剛 李 議員 說 未來 透水性 部分 能 讓 城市 有 避險 的 空間 並且 鼓勵 未來 使用 綠建築 但是 在 降低 熱島 效應 的 過程 李 議員 有 很多 道路 鋪設 方面 的 具體 建議 我會 責成 工務局 讓 工程 材料 有 更 進步 的 空間  在 降低 熱島 效應 方面 我 尊重 專業 會 請 吳副 市長 和 工務局 楊 局長 針對 李 議員 提 的 專業 技術 如何 讓 高雄市 成為 一座 海綿 城市 做 詳細 評估 及 處理 只要 對 城市 有 幫助 及 正面 的 發展 站 在 高雄市政府 的 立場 我們 很 願意 做 也 謝謝 李 議員 針對 我們 做 得 不夠 好 以及 不足 的 部分 給予 改善 的 空間 建議 市政府 團隊 會 虛心 以 對  李議員喬如 謝謝 市長 剛剛 這個 工法 不 只 運用 在 道路 也 可以 運用 在 停車場 廣場 也 可以 運用 到 社區 的 巷道 這個 施工 法 目前 屏東縣 已經 在 示範 施作 這一點 訊息 提供 市長 參考 
8, 接下來 本席 和 同 選區 簡煥宗議員 對 於 這個 議題 都 很 關心 我 跟 大家 報告 一下 不好意思 電腦 上 的 土地 面積 數據 我 的 助理 發生 一點 錯誤 正確 數字 是 區公所 提供 的 旗津 的 土地 面積 是  公頃 我 口頭 修正 一下  我 想 建議 市長 高雄市 勞動 女性 紀念碑 和 旗津生命紀念館 是 相鄰 的 這 二個 公共 建設 是 市長 的 政績 很 可惜 它 的 綠 美化 不相容 感覺 不夠 大氣 建請 市長 將 這 兩個 連結 的 場域 可以 規劃 得 更 綠 美化 更 活潑 亮麗 讓 大家 感覺 這個 地方 不是 那麼 悲情 目前 硬體 設施 不錯 我們 希望 綠化 部分 能 處理 得 更好 這一點 請 市長 待 會 一起 回應 
9, 本席 和 簡煥宗議員 為了 這件 事情 接受 了 很多 旗津 居民 的 請命 今天 我們 二位 特別 向 市長 請命 請 市長 放心 這 不是 很 龐大 的 經費 我們 也 大概 了解 急診 的 費用 不是 原來 的 估價 旗津醫院 現在 是 委外給 高雄醫學院 委外 之前 有 急診  小時 不 打烊 現在 高醫 有 區分 晚上  點到 隔日 早上  點 沒有 醫生 值班 我 建議 之後 院長 就 設置 一個 夜間 救助站 晚上 按鈴 也 沒有 醫生 回應 怎麼辦 呢 我 覺得 離島 地區 已經 是 弱勢 區域 我 請求 市長 離島 醫療 的 弱勢 不要 讓 旗津 更 弱勢 我 很 希望 市長 責成 衛生局 和 承攬 的 高醫 在 晚上  點到 隔日 早上  點 能夠 增加 一位 醫生 和 護士 解決 離島 居民 夜間 急診 醫療 的 需要  簡煥宗議員 針對 我 剛剛 提 的 議題 有 個人 的 看法 之後 請 市長 針對 這 二個 議題 給 我們 有 改革 性好 的 回應  簡 議員 你 要 加強 什麼 主席 蔡副議長昌達 簡 議員 請 質詢 
