,jieba_results
0, 陳議員美雅 本席 的 市政總質詢 想 針對 高雄 市民 關心 的 許多 議題 就 教 市府 團隊  首先 本席 要 請教 市長 高雄市 目前 對 於 大陸 之間 的 兩岸關係 市長 的 態度 如何 認為 我們 跟 大陸 之間 的 交流 你 是 支持 還是 反對 請 市長 表達 你 的 立場  主席 康議長裕成 市長 請 回答  陳市長菊 高雄市 是 一個 開放 的 城市 高雄市 跟 中國 大陸 之間 我們 一向 都 是 鼓勵 交流  同時 我 個人 為了  年 世界運動會  年 亞太城市高峰會議 我 都 曾經 到 中國 大陸 相關 的 城市 邀請 他們 來 參與  我 想 做為 一個 開放 的 城市 我們 都 是  陳議員美雅 所以 市長 你 認為 台灣 目前 應該 維持 什麼樣 的 政治立場 你 目前 的 政治立場 可不可以 更 簡單 一點 陳市長菊 台灣 現階段 就是 維持現狀  陳議員美雅 我們 的 現狀 可不可以 請 市長 用 更 白話 一點 告訴 市民 陳市長菊 這跟 市政 無關 我 想 今天 不 討論 政治 議題  陳議員美雅 本席 現在 要 了解 的 是 要 跟 高雄 市民 講 如果 剛剛 市長 表達 的 立場 是 未來 也 希望 增加 兩岸 之間 的 交流  陳市長菊 我 同意  陳議員美雅 那麼 市長 是否 可以 更 坦然 的 面對 這個 問題 讓 兩岸 之間 的 交流 和平 發展 陳市長菊 當然  陳議員美雅 所以 你 認為 目前 台灣 跟 大陸 之間 朝著 所謂 的 和平 發展 是 指 九二共識 你 也 認同 的 意思 嗎 陳市長菊 兩岸 之間 朝著 更 進步 的 的 發展 我 想 九二共識 有 不同 的 解讀 這個 部分 在 台灣 社會 有 不同 的 看法  陳議員美雅 市長 你 的 解讀 呢 陳市長菊 我想 這跟 今天 的 市政 無關  謝謝  陳議員美雅 這跟 未來 高雄市 政 大陸 未來 如何 跟 高雄市 之間 做 的 觀光 文化交流 甚至 未來 有沒有 任何 經貿 交流 有關 市長 你 好像 一直 迴 避 這個 問題  陳市長菊 我們 都 贊成 跟 中國 大陸 之間 不斷 的 開放 交流 藉由 民間 更 多 的 交流 異中 求同 然後 爭取 更 多 彼此 的 認知 及 認識 這樣 兩岸 之間 才能 更趨 和緩  謝謝  陳議員美雅 謝謝 市長 市長 剛剛 的 意思 也 尊重 所謂 的 九二共識  陳市長菊 沒有 那 是 你 的 解讀 我 不是 這樣 解讀 的  陳議員美雅 市長 你 的 解讀 讓 你 更 白話 的 說 一句 話 你 就 用 一句 話 表達 你 的 立場 我 的 市政質詢 時間 非常 寶貴  陳市長菊 我 的 答覆 也 是 很 寶貴 時間 是 共同 的  陳議員美雅 所以 你 的 立場 到底 是 什麼 呢 陳市長菊 我 的 立場 很 清楚 兩岸 之間 異中 求同 兩岸 之間 有 很多 歷史 發展 的 過程 不一樣 兩岸 之間 應該 要 更 多 的 往來 互相 尊重 異中 求同  謝謝  陳議員美雅 互相 尊重 嘛 謝謝 你 認同 所謂 的 互相 尊重 這一點  我 想 高雄 不要 再有 所謂 的 意識形態 議員 在 高雄市議會 要 為 高雄市 為 台灣 表達 一個 立場 我們 希望 讓 高雄 市民 能夠 生活 得 更好 不要 總是 赤字 困難  我們 希望 能 創造 高雄 跟 兩岸 之間 甚至 各國 之間 是 友好 的 環境 讓 大家 樂於 來 高雄市 投資 我們 就是 希望 讓 高雄 市民 未來 有 更 多 的 就業機會 未來 高雄市 能 自創 更 多 的 自有 財源  這是 市長 未來 應該 要 為 高雄 市民 奮鬥 努力 的 
1, 陳議員美雅 請 尊重 本席 的 時間  市長 這 就是 我們 的 官員 新 的 局長 也 要 來 和 議員 嘔 難怪 副 市長 做 錯誤 的 示範 各位 高雄 市民 民進黨 完全 執政 之下 居然 就是 這樣 蠻橫 的 狀態 對 於 議員 的 質詢 不 針對 問題 回答 還要 用 回 嗆 的 方式 甚至 沒有 請 他 回答 時 他 也 要 在 台下 用 叫囂 的 方式  本席 再 請教 市長  億 
2, 陳議員美雅 我們 來看 一下 你 在 善款 網站 上 公布 了 多少 社會局姚局長雨靜 但是 我們 有 更新 的 計畫 一段 時間 都 會 調整 計畫  陳議員美雅 好 的 沒 有關 係 我們 會給 你 一個 落差 的 範圍 誤差 的 範圍 是 會 有  我們 看 一下 核定 計畫 金額  億  萬元 落差 了  億多  我們 再 看 更 上面 更 上面 的 是 你們 公布 給 大家 都 來查 一查 這個 數字 絕對 是  的  我們 看到 了 什麼 核定 辦理 計畫案  案  為什麼 是 這個 數字  億 
3, 接著 本席 在 這裡 還要 再 為 高雄市 的 教育 發聲 看 一下 本席 這個 背板 翻轉 吧 小學 高雄 進步 的 動力 請 市長 留一塊 土地 給 孩子 光榮 學習 的 機會  本席 之前 在 議事廳 一直 在 質詢 的 問題 高雄市 確實 財政困難 但是 不管 高雄市 再 怎麼樣 窮 我們 都 不能 窮孩子 不能 苦 教育 因此 我們 一直 在 為 教育 發聲 而 市長 的 政策 市政府 現在 的 政策 都 一直 在講 什麼 呢 現在 高雄市 因為 少子化 所以 學校 必須 裁 併 校 不要 有 閒置 的 空間 都 用 這個 大帽子 ─ ─ 不要 有 閒置 的 空間 所以 必須 要裁 併 校  但是 我們 今天 看到 有 一所 高雄市 非常 知名 的 森林 小學 叫做 光榮國小 它 錯 在 哪裡 呢 錯 在 位於 高雄市 一個 非常 棒 的 地點 ─ ─ 愛河 區域 它 錯 在 它 幫 高雄市 力 拚 海洋 城市 的 美名 因為 他們 有 全國 首創 的 帆船 班 但是 市政府 每 一年 總是 要來 嚇一嚇 光榮國小 都 一直 告訴 我們 要裁 併 校 而 今年 又 在 講了 說 要 把 它 改成 叫做 愛河學園 本席 在 這裡 要 幫 光榮國小 請命 市長 高雄 財政 不管怎麼 困難 不 應該 總是 要 變更 校園 用地 做為 商業 用地 或 觀光 用地  今天 是 上班 日 但是 看看 議事廳 的 樓上 市長 請 你 看看 這些 家長 的 心聲 他們 都 希望 市長 請 你 保留 光榮 不要 再說 要 把 他們 廢 併 校 把 光榮 留下來 吧 因為 光榮 得到 很多 全國 第一名 包括 橋牌 比賽 全國 第一名 跳舞 陣 也 得過 全國 第一 紙牌 甚至 他們 的 帆船 都 在 經費 非常 拮据 的 情況 下 本席 也 幫助 他們 爭取 到 一些 新 的 帆船 而 這些 小朋友 非常 了不起 也 都 得到 全國 第一名 表現 得 這麼 棒 雖然 是 小校 但是 他們 的 招生數 從來 沒有 減少 過 我們 待會兒 可以 稍微 秀 一下 光榮國小 這個 小校 確實 是 翻轉 了 一般 人 對 他們 既定 的 印象 他們 創造 了 高雄市 非常 傑出 的 一些 事 蹟  市長 你 看看 這 就是 我們 的 光榮國小 它 是 我們 的 城市之光 它 有 樹屋 攀岩 牆 公共藝術 圖書室 活動中心 他們 有 很多 特色 課程 這麼 棒 的 小學 如果 和 別的 學校 合併 在 一起 學校 本身 的 特色 會 不見 高雄市 真的 財政困難 到 一個 有 滿額 招生 的 學校 還硬要 把 它 廢除 掉 嗎 市長 是否 可以 請 你 針對 這個 部分 說明 主席 康議長裕成 市長 請 回答  陳議員美雅 是否 可以 暫緩 甚至 不要 絕對 不要 承諾 不要 併 掉 我們 的 光榮國小 陳市長菊 有關 光榮國小 或 鹽埕區 未來 愛河學園 的 部分 這些 都 在 教育局 的 規劃 之中 將來 光榮國小 若 教育局 評估 是 優質 學校 未來 愛河學園 規劃 的 內容 局長 比 我 更 清楚  因為 鹽埕 有 一個 國中 及 三個 國小 在 這個 區域 之中 將來 會 怎麼 規劃 是 保留 光榮國小 或 其他 學校 之間 有 什麼樣 具體 的 內容 是不是 請 教育局 范 局長 答覆 陳議員美雅 市長 本席 是 想要 為 光榮國小 請命  陳市長菊 謝謝 你 這個 我 了解  陳議員美雅 是否 可以 保留 光榮國小 在 全體師生  陳市長菊 目前 因為 我還 不 了解  陳議員美雅 那麼 你 去 了解 之後 你 願意 去 了解 嗎 陳市長菊 我還 不 了解 它 的  陳議員美雅 你 願不願意 去 了解 陳市長菊 我 願意 去 了解  陳議員美雅 好 感謝 市長 在座 光榮國小 的 師生 們 聽到 了 市長 有 承諾 當 光榮國小 確實 像 我們 剛才 表列 上面 所說 的 得到 這麼 多 的 全國 第一名 是 一個 優質 學校 他 如果 去 了解 了 以後 他 就 不會 併 掉 我們 的 光榮國小 是 這個 意思 嗎 不是 嗎 陳市長菊 我 剛才 的 答覆 和 陳 議員 的 說法 是 不 一樣 的 我 說 你 要 不要 等 我 去 了解 整個 愛河學園 的 規劃  我 願意 去 了解 因為 內容 是 什麼 我 不 清楚  陳議員美雅 本席 先 不管 你 所謂 的 愛河學園 光榮國小 可不可以 保住 陳市長菊 我要 先 了解 教育局 對 愛河學園 的 規劃 這個 部分 每一個 學校 未來 我們 都 應該 列為 考量  陳議員美雅 本席 在 這裡 要 再 特別 呼籲 讓 高雄 市民 了解 高雄市政府 一直 說 少子化 高雄市 財政困難 因此 我們 看到 了 本席 在 之前 也 提到 舊 龍華國小 當初 本席 在 市議會 也 問了 市長 校園 用地取得 不易 因為 這是 當初 很多 地主 犧牲 個人 私人 的 利益 把 這個 地給 學校 去 蓋校 怎麼 會 說 現在 學校 又 不用 了 這些 地 就 整個 要 把 校園 用地 變更 為什麼 ─ ─ 商業 用地 所以 舊 龍華國小 就 變更 為 商業 用地 校園 用地 就 不見 了  我們 再 看到 左營國中 這些 都 是 當初 大家 的 善心 結果 呢 現在 又 因為 高雄市 財政困難 高雄市 說 要 拚 觀光 就 又 把 左營國中 校園 用地 變更 成 觀光 用地  未來 針對 愛河學園 周邊 這麼 棒 的 光榮國小 它並 沒有 不 足額 招生 它 是 滿額 招生 甚至 很多 別的 區域 的 不住 在 鹽埕區 的 都 要 去 就讀 光榮國小 就是 因為 這個 學校 辦得 非常 棒  所以 市長 希望 你 趕快 為 高雄市 拚 經濟 不要 只有 拚 選舉 拚 經濟 的 同時 也 讓 我們 這些 小朋友 們 在 他們 希望 就讀 的 學園 中 好好 唸書 
4, 本席 在 這裡 再 批判 一點 針對 我們 遷 併 校有 很大 一個 缺失 在 哪裡 鼓山區 還有 一個 學校 叫做 中山國小 中山國小 的 學生 數 一年 大概 將近 九百 人 本席 爭取 了 一所 美術館 小學 爭取 新 設 一所 美術館 小學 但是 市政府 居然 又 用 了 一個 遷 併 校 要 把 中山國小 遷 併 到 美術館 小學 本席 當初 就 提出 質疑 光是 中山國小 就 有 將近 九百個 學生 現在 美術館 區域 的 學生 還有 二千多 人 新設 的 學校 都 不足以 容納 美術館 區域 的 小朋友 了 現在 竟然 還要 將 中山國小 以 遷校 的 方式 併 過來 理由 是 什麼 說 現在 的 學生 數 減少  現在 中山國小 空下來 市長 你 要 做 什麼 用途 請 回答  主席 康議長裕成 市長 請 回答  陳市長菊 中山國小 現在 是不是 完全 遷校 教育局 還 沒有 向 我 報告 但是 我 認為 閒置 校園 應該 充分 使用 現在 進入 少子化 與 高齡 化 社會 老人 人口 增加 在 學園 也 可以 讓 我們 的 長輩 在 學校 裡面  陳議員美雅 好 謝謝 市長 本席 時間 有限  中山國小 位於 鐵路地下化 的 周邊  陳市長菊 我 當然 知道  陳議員美雅 走路 大概  分鐘 到  分鐘 現有 學生 數 將近 九百 人 的 情況 之下 市長 和 教育局 告訴 我們 說 因為 少子化 這所 學校 閒置 有 可能 要裁 併 掉 招生數 明明 足夠 他 還是 要 把 它 裁 併 掉 這一塊 緊臨 鐵路地下化 周邊 的 中山國小 到底 市政府 又 要 做 什麼 用途 呢 遷 併 校 到底 是 要 做 什麼 用途 呢 有 前車之鑑 現在 又 面臨 到 中山國小 的 小朋友 當初 教育局 承諾 他們 可以 過來 就讀 美術館 小學 結果 又 沒有 辦法 市政府 的 政策 一直 跳票 一直 在 改 一直 在 跳票  本席 再次 呼籲 全體 高雄 市民 甚至 光榮國小 的 家長 們 如果 未來 市政府 又 要 動土 地 的 腦筋 又 要 把 光榮國小 裁 併 掉 的話 請 大家 要 站 出來 向 市長 怒吼 請 市長 和 市府 團隊 要 重視 教育 不要 藐視 家長 的 心聲  財政困難 市長 必須 去 想 辦法 去 做好 兩岸關係 甚至於 各國 之間 的 友好 交流 關 係 鼓勵 大家 到 高雄 來 投資 總公司 設 來 高雄 讓 高雄 的 自有 財源 能夠 更加 豐富 就 不會 老是 要動 到 這些 小朋友 的 學習 環境 這樣 是 本末倒置 的 
5, 最後 本席 呼籲 市長 要 重視 高雄 市民 的 生活品質 目前 我們 面臨 高齡 化 的 現象 請 市長 區區 都 應該 要 有 社區 長青學苑 這個 部分 市長 願不願意 承諾 請答 覆  主席 康議長裕成 市長 請 回答  陳市長菊 我們 會 朝著 這個 方向 每個 地區 的 長輩 人數 是不是 每個 地方 有 一個 日間 對 老人 照顧 的 場所 這個 方向 我們 會 努力  陳議員美雅 目前 要朝 哪些 方向 來 努力 第一 個 區區 都 應該 要 有 社區 長青學苑 市長 剛才 承諾 願意 朝 這個 方向 來 努力 沒錯 嘛 本席 呼籲 未來 針對 長輩 們 被 照顧 的 空間 請 市長 也 一 併 列入 考慮 一 併 做 規劃 
6, 本席 再次 呼籲 現在 很多 家長 為什麼 會 有 少子化 的 問題 市長 就是 因為 在 高雄市 照顧 小朋友 不 容易 而且 我們 的 學習 環境 根據 本席 剛才 的 剖析 市長 似乎 不是 那麼 重視 教育 為了 解決 少子化 問題 市長 應該 要 去 增加 區區 都 應該 要 有 更 多 的 公立托嬰中心 當 這些 年輕 父母親 的 幫手 我們 希望 鼓勵 大家 多多 生育 並且 落葉 生根 回來 高雄市 
7, 本席 之前 曾經 批判 過一個 政策 就是 勞工局 曾經 做 了 一個 移居 津貼 居然 補助 
8, 另外 本席 要 幫 美術館 農 瑞豐 社區 的 居民 來 要求 市長 因為 農 美術館 在 經過 市 地 重劃 之後 有 許多 抵費 地 美術館 這些 抵費 地 你 都 以  坪  萬 賣掉 但是 賣掉 的 這些 金額 地政局 居然 一半 繳回 市政府 另外 一半 有沒有 回饋 美術館 這邊 興建 活動中心 和 圖書館 呢 沒有  市長 不要 占 美術館 居民 的 便宜 希望 當初 重劃 的 這些 基金 你 要 撥出來 不要 再 告訴 我們 說 財政困難 找 不到 地方 所以 區區 的 活動中心 特別 是 針對 美術館 農 瑞豐 社區 的 部分 請 你 要 儘 快 興建 
9, 市長 第一 個 針對 兩岸關係 本席 希望 市長 和 市政府 要 明白 宣示 我們 除了 可以 吸引 大陸 之外 甚至 有 各國 各 地方 的 資金 到 高雄市 來 把 公司 設在 高雄市  請 市長 不要 用 傲慢 的 態度 說 兩岸關係 不是 你 要 回答 的 議題 希望 你 尊重 彼此 的 不同 可以 做到 嗎 拚 經濟 我想 這是 高雄 市民 未來 希望 看到 的 
